{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 6.13761029554000*10^-01,   0.00000000000000*10^+00,   7.89491861010000*10^-01}  
{-7.34553604082000*10^-01,   6.75455195679000*10^-01,   6.47401062730000*10^-02}  
{ 1.66951752264000*10^-01,  -9.82501327791000*10^-01,  -8.25727152550000*10^-02}  
{ 4.38755208269000*10^-01,   8.98267079123000*10^-01,   2.47006433290000*10^-02}  
{ 2.90133183455000*10^-01,   6.25233366103000*10^-01,  -7.24503950141000*10^-01}  
{-2.83523195825000*10^-01,  -9.48940725939000*10^-01,  -1.38297129697000*10^-01}  
{-9.87901517754000*10^-01,  -3.41853025160000*10^-02,  -1.51267829730000*10^-01}  
{ 1.17043182278000*10^-01,   9.58894727098000*10^-01,  -2.58499121518000*10^-01}  
{ 5.94774834317000*10^-01,   5.42031745323000*10^-01,   5.93670349205000*10^-01}  
{ 7.32986417453000*10^-01,  -4.06928209913000*10^-01,  -5.45105809734000*10^-01}  
{ 2.07291110564000*10^-01,  -9.13588939936000*10^-01,  -3.49836596581000*10^-01}  
{ 3.73847973509000*10^-01,   9.12861054381000*10^-01,   1.64080431796000*10^-01}  
{ 7.67259848200000*10^-01,   1.95439526819000*10^-01,   6.10831987290000*10^-01}  
{-1.79319236604000*10^-01,   8.28164488759000*10^-01,   5.31025602906000*10^-01}  
{-8.16415177590000*10^-02,  -9.96441509446000*10^-01,   2.09518693810000*10^-02}  
{ 5.08865214680000*10^-01,  -6.13093360803000*10^-01,  -6.04295229360000*10^-01}  
{ 4.96943924627000*10^-01,   8.60432580451000*10^-01,  -1.12705413684000*10^-01}  
{-2.79849315843000*10^-01,  -6.18886587465000*10^-01,  -7.33937158262000*10^-01}  
{ 4.02318843112000*10^-01,   7.74799232407000*10^-01,  -4.87673761791000*10^-01}  
{ 7.99275927133000*10^-01,   2.46155974313000*10^-01,  -5.48238295466000*10^-01}  
{ 2.96171082525000*10^-01,  -9.30916909423000*10^-01,   2.13720372510000*10^-01}  
{-3.23361085005000*10^-01,   4.10456256438000*10^-01,  -8.52621410859000*10^-01}  
{ 7.19779880904000*10^-01,  -2.81288740800000*10^-01,  -6.34660198330000*10^-01}  
{-9.39173521320000*10^-01,  -3.07865758106000*10^-01,  -1.52222770432000*10^-01}  
{-6.66800058947000*10^-01,  -7.40817077632000*10^-01,   8.10415873300000*10^-02}  
{ 2.05970770255000*10^-01,   7.45800336288000*10^-01,  -6.33528136860000*10^-01}  
{ 5.15878624466000*10^-01,   4.77372055879000*10^-01,   7.11326342184000*10^-01}  
{-2.46278273067000*10^-01,   9.56475837161000*10^-01,   1.56527905315000*10^-01}  
{-3.14265012189000*10^-01,  -3.57008193919000*10^-01,  -8.79649163922000*10^-01}  
{-1.15457169460000*10^-02,   6.68943434078000*10^-01,  -7.43223639576000*10^-01}  
{ 2.63949562315000*10^-01,   8.19651402899000*10^-01,  -5.08431122454000*10^-01}  
{-7.38189155064000*10^-01,  -6.50422741252000*10^-01,  -1.78960970632000*10^-01}  
{ 4.61465903271000*10^-01,  -6.76872426403000*10^-01,   5.73491881803000*10^-01}  
