{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 7.32969627973000*10^-01,   0.00000000000000*10^+00,   6.80261364822000*10^-01}  
{-4.86406268920000*10^-02,   3.31428110039000*10^-01,  -9.42225820752000*10^-01}  
{-9.39521826030000*10^-01,  -3.18290176421000*10^-01,  -1.26451975104000*10^-01}  
{-5.99592873592000*10^-01,  -7.81545039453000*10^-01,   1.72266471619000*10^-01}  
{ 6.81572975845000*10^-01,  -2.81095110934000*10^-01,  -6.75606259005000*10^-01}  
{-2.11267223889000*10^-01,  -9.30901608617000*10^-01,   2.97973749153000*10^-01}  
{-3.22969739032000*10^-01,   2.49446421084000*10^-01,   9.12944155290000*10^-01}  
{ 6.62462901387000*10^-01,  -7.48957441435000*10^-01,   1.43406835330000*10^-02}  
{ 6.14598257026000*10^-01,  -8.96022323970000*10^-02,  -7.83734918458000*10^-01}  
{ 3.29646676802000*10^-01,  -4.77458861602000*10^-01,  -8.14472899457000*10^-01}  
{ 2.82155703548000*10^-01,   1.22509106804000*10^-01,  -9.51514412768000*10^-01}  
{ 3.65115276456000*10^-01,  -7.45521542241000*10^-01,   5.57573730509000*10^-01}  
{ 5.18782617300000*10^-01,   1.05758167829000*10^-01,  -8.48339440274000*10^-01}  
{-8.31574509591000*10^-01,  -5.32141129890000*10^-01,  -1.59090077876000*10^-01}  
{-4.34861821833000*10^-01,  -2.74065314850000*10^-01,  -8.57778175934000*10^-01}  
{-2.50543777562000*10^-01,  -8.30934728030000*10^-01,   4.96764826935000*10^-01}  
{ 2.84843763778000*10^-01,  -9.58416229702000*10^-01,   1.73885272390000*10^-02}  
{-2.74151422850000*10^-02,  -8.77914184005000*10^-01,   4.78032525564000*10^-01}  
{-1.55282013745000*10^-01,   9.84610666796000*10^-01,   8.01831094400000*10^-02}  
{-1.71270998285000*10^-01,  -5.53164794726000*10^-01,   8.15275999293000*10^-01}  
{-9.37467661174000*10^-01,  -1.75462783052000*10^-01,   3.00611370406000*10^-01}  
{ 3.11095866419000*10^-01,   9.47874357264000*10^-01,   6.89461002400000*10^-02}  
{-5.85398374257000*10^-01,  -5.35508733864000*10^-01,   6.08719261542000*10^-01}  
{ 1.20104865371000*10^-01,   7.03391425569000*10^-01,  -7.00582132051000*10^-01}  
{ 6.32279502846000*10^-01,  -7.35394226445000*10^-01,   2.43757998825000*10^-01}  
{ 2.20991108068000*10^-01,   9.39374307686000*10^-01,   2.62180930302000*10^-01}  
{ 2.48423847283000*10^-01,  -9.40550079111000*10^-01,   2.31627158997000*10^-01}  
{ 8.59360436618000*10^-01,  -9.06337613640000*10^-02,   5.03274439324000*10^-01}  
{-7.67138994765000*10^-01,  -6.02211474110000*10^-01,   2.20995708468000*10^-01}  
{ 2.68640905507000*10^-01,   5.15524192797000*10^-01,  -8.13674916984000*10^-01}  
{ 2.00784027842000*10^-01,  -8.76422530005000*10^-01,   4.37686329536000*10^-01}  
{-9.29736546799000*10^-01,   8.33874153980000*10^-02,   3.58659298637000*10^-01}  
{-1.12554792867000*10^-01,  -5.08605939942000*10^-01,  -8.53610810884000*10^-01}  
{-2.36014077260000*10^-01,   3.61844624320000*10^-02,   9.71075712812000*10^-01}  
{ 6.23230451371000*10^-01,   4.75619141841000*10^-01,   6.20781955600000*10^-01}  
{ 5.83355991140000*10^-02,  -9.96863527092000*10^-01,   5.34795870420000*10^-02}  
{-5.71440238874000*10^-01,  -1.15413689337000*10^-01,   8.12487374492000*10^-01}  
{-5.45806652991000*10^-01,  -8.08196100810000*10^-02,  -8.34004369399000*10^-01}  
{ 9.34955194397000*10^-01,   6.77777063510000*10^-02,   3.48231197613000*10^-01}  
{ 3.10646759506000*10^-01,  -9.29337661180000*10^-01,  -1.99574803821000*10^-01}  
{ 8.74645709284000*10^-01,   6.17367227630000*10^-02,  -4.80815411871000*10^-01}  
{-4.30835997797000*10^-01,  -6.32022057569000*10^-01,  -6.44149409492000*10^-01}  
{ 8.83677676285000*10^-01,   4.38946469102000*10^-01,  -1.62603080226000*10^-01}  
{-5.56217800568000*10^-01,  -7.17618547999000*10^-01,  -4.19100677522000*10^-01}  
{ 6.76704725870000*10^-02,   7.59415672229000*10^-01,   6.47076922717000*10^-01}  
{ 6.39244213939000*10^-01,  -7.33502276364000*10^-01,  -2.30957237414000*10^-01}  
{ 7.40328430748000*10^-01,  -2.36418416534000*10^-01,   6.29301316501000*10^-01}  
{ 3.34307723049000*10^-01,   6.74420976112000*10^-01,  -6.58327193188000*10^-01}  
{-4.74277253999000*10^-01,   8.75062274289000*10^-01,  -9.65769250720000*10^-02}  
{-7.39836128058000*10^-01,  -5.04890564132000*10^-01,   4.44666191508000*10^-01}  
{ 4.92643879242000*10^-01,   8.55889977867000*10^-01,   1.57335164637000*10^-01}  
