{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 8.74580237379000*10^-01,   0.00000000000000*10^+00,   4.84880818745000*10^-01} 
{ 7.63991052282000*10^-01,  -2.78698235374000*10^-01,   5.81932097097000*10^-01} 
{ 3.54654767395000*10^-01,  -4.04354094650000*10^-02,  -9.34122568845000*10^-01} 
{-5.27546158350000*10^-01,   8.49400673415000*10^-01,   1.46132410370000*10^-02} 
{ 1.27445846655000*10^-01,  -4.29886265138000*10^-01,   8.93843026049000*10^-01} 
{ 9.58718896164000*10^-01,  -1.70916680053000*10^-01,  -2.27256609625000*10^-01} 
{-4.54058183540000*10^-01,   8.71693660746000*10^-01,   1.84340250016000*10^-01} 
{-5.93288374148000*10^-01,  -6.31733103615000*10^-01,  -4.98921026714000*10^-01} 
{-7.06751721852000*10^-01,   3.02682590118000*10^-01,   6.39441360329000*10^-01} 
{ 6.69891290476000*10^-01,  -2.43636746224000*10^-01,   7.01346415713000*10^-01} 
{ 9.21413823932000*10^-01,  -2.73911898937000*10^-01,   2.75624448638000*10^-01} 
{-5.66745550103000*10^-01,   8.32879022460000*10^-02,   8.19672255708000*10^-01} 
{ 1.75620972159000*10^-01,   4.23251464231000*10^-01,  -8.88828145461000*10^-01} 
{ 2.85570823926000*10^-01,  -1.89615623574000*10^-01,   9.39412167166000*10^-01} 
{-6.06294802976000*10^-01,   1.68921847228000*10^-01,  -7.77092028922000*10^-01} 
{-1.37453815100000*10^-02,   4.91091217562000*10^-01,   8.70999701791000*10^-01} 
{-2.91812287563000*10^-01,   1.38049073530000*10^-02,   9.56375979079000*10^-01} 
{-5.12053152874000*10^-01,  -7.49352381865000*10^-01,  -4.19848277864000*10^-01} 
{ 6.94681553406000*10^-01,   7.13064423716000*10^-01,   9.46396692050000*10^-02} 
{ 7.38172529881000*10^-01,  -5.79438066120000*10^-01,  -3.45474809010000*10^-01} 
{ 7.09326592465000*10^-01,   5.74744704092000*10^-01,  -4.08073903038000*10^-01} 
{ 5.61019346860000*10^-02,   9.93745619199000*10^-01,  -9.65516299550000*10^-02} 
{ 6.38619703214000*10^-01,  -6.00332326098000*10^-01,  -4.81420785705000*10^-01} 
{-8.80548305443000*10^-01,   5.87952277460000*10^-02,   4.70295442223000*10^-01} 
{-5.88997387066000*10^-01,   4.32016043291000*10^-01,   6.82967214710000*10^-01} 
{ 6.73645802844000*10^-01,   4.82894567626000*10^-01,  -5.59476691979000*10^-01} 
{ 1.45294964218000*10^-01,  -9.65787860200000*10^-02,   9.84663349305000*10^-01} 
{ 7.46506854639000*10^-01,  -4.68136884288000*10^-01,  -4.72837576284000*10^-01} 
{-3.12822222326000*10^-01,   3.42487365167000*10^-01,   8.85914590646000*10^-01} 
{ 6.98320043770000*10^-01,   3.75773735622000*10^-01,   6.09215246104000*10^-01} 
{ 2.04883892956000*10^-01,   9.64997296270000*10^-01,  -1.63715633339000*10^-01} 
{ 6.57350200815000*10^-01,  -4.04730336304000*10^-01,   6.35676071882000*10^-01} 
{-8.97002660342000*10^-01,   4.41135520600000*10^-02,  -4.39818396458000*10^-01} 
{-2.53772362243000*10^-01,  -9.07115130446000*10^-01,  -3.35770350504000*10^-01} 
{-5.57617826537000*10^-01,  -7.54130030183000*10^-01,   3.46915345731000*10^-01} 
{ 8.42856009355000*10^-01,   4.51570755724000*10^-01,   2.92707362512000*10^-01} 
{-8.91657917806000*10^-01,  -1.00461359973000*10^-01,   4.41422329256000*10^-01} 
{ 4.31917259533000*10^-01,   8.75384729354000*10^-01,   2.17138335011000*10^-01} 
{ 7.80283720411000*10^-01,  -5.38922131740000*10^-02,  -6.23099466395000*10^-01} 
{-9.30483303237000*10^-01,   2.77137241059000*10^-01,  -2.39574147219000*10^-01} 
{ 8.73165886108000*10^-01,   4.71280246248000*10^-01,   1.24403636739000*10^-01} 
{-6.83985939160000*10^-01,   4.74448223734000*10^-01,   5.54131859784000*10^-01} 
{ 1.85309591492000*10^-01,   8.58151301793000*10^-01,  -4.78786694189000*10^-01} 
{ 1.88993123451000*10^-01,  -2.30221005900000*10^-02,  -9.81708501630000*10^-01} 
{ 8.76185494472000*10^-01,  -4.75427500017000*10^-01,  -7.91686270250000*10^-02} 
{-7.62182460660000*10^-01,   5.87690610444000*10^-01,   2.71473098221000*10^-01} 
{-9.15709689321000*10^-01,  -4.01612926325000*10^-01,  -1.35211793700000*10^-02} 
{ 3.13298487378000*10^-01,   9.42407138248000*10^-01,   1.17101851333000*10^-01} 
{ 7.22959267629000*10^-01,   7.59900069850000*10^-02,  -6.86698926887000*10^-01} 
{-4.53620105847000*10^-01,   2.45019317677000*10^-01,   8.56851406917000*10^-01} 
{-7.48403337441000*10^-01,  -5.30735411318000*10^-01,   3.97759183025000*10^-01} 
{ 5.62034958658000*10^-01,  -2.04832347943000*10^-01,  -8.01349121471000*10^-01} 
{-3.90700827830000*10^-02,   1.64934976318000*10^-01,  -9.85530305074000*10^-01} 
{ 8.00192182607000*10^-01,   1.03090995358000*10^-01,   5.90816991607000*10^-01} 
{ 1.12882204412000*10^-01,   9.24675646858000*10^-01,   3.63637946362000*10^-01} 
{ 5.00816573373000*10^-01,  -6.44234232939000*10^-01,   5.78052776954000*10^-01} 
{-1.95315553130000*10^-02,  -3.35308347215000*10^-01,   9.41905956365000*10^-01} 
{ 1.39388907656000*10^-01,   5.48585272850000*10^-01,   8.24393674669000*10^-01} 
{ 5.40102153968000*10^-01,   5.26209303367000*10^-01,  -6.56805475258000*10^-01} 
{-6.67254080265000*10^-01,   5.73174752593000*10^-01,  -4.75649761232000*10^-01} 
{ 9.86864561642000*10^-01,   4.72014003640000*10^-02,   1.54500371454000*10^-01} 
{ 4.59453972424000*10^-01,  -3.40541491552000*10^-01,  -8.20325264609000*10^-01} 
{-3.72923990900000*10^-03,   9.64139942713000*10^-01,   2.65368166205000*10^-01} 
{-8.23271247015000*10^-01,  -4.89553547801000*10^-01,  -2.87335653328000*10^-01} 
{ 9.40136598733000*10^-01,   3.40200271322000*10^-01,   2.01730294030000*10^-02} 
{ 5.39964818079000*10^-01,   6.02380226601000*10^-01,   5.87857174692000*10^-01} 
{-4.68329612706000*10^-01,   1.27944867110000*10^-01,  -8.74241090800000*10^-01} 
{ 9.20758763643000*10^-01,  -3.50324580465000*10^-01,  -1.71685723044000*10^-01} 
