{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 9.59658603288000*10^-01,   0.00000000000000*10^+00,  -2.81167859356000*10^-01} 
{ 3.72926056340000*10^-01,  -8.00624747050000*10^-01,   4.68962867308000*10^-01} 
{ 4.29974906246000*10^-01,   6.19027683159000*10^-01,   6.57211006817000*10^-01} 
{ 9.16390274627000*10^-01,   3.72603011782000*10^-01,  -1.46273238087000*10^-01} 
{-1.27995114849000*10^-01,  -4.00094255913000*10^-01,  -9.07492058897000*10^-01} 
{-3.98848501045000*10^-01,   2.09616285351000*10^-01,   8.92737859693000*10^-01} 
{ 1.33693390709000*10^-01,   9.13546270625000*10^-01,  -3.84134466963000*10^-01} 
{ 2.68637043943000*10^-01,  -7.72041003760000*10^-01,   5.76009398478000*10^-01} 
{-4.78566181103000*10^-01,   8.53553205657000*10^-01,   2.05964403279000*10^-01} 
{ 6.43894490830000*10^-02,  -4.25647482416000*10^-01,   9.02595268966000*10^-01} 
{ 6.29057534245000*10^-01,  -5.26208638416000*10^-01,   5.72180991878000*10^-01} 
{ 3.38487440772000*10^-01,  -1.64238610261000*10^-01,  -9.26526810912000*10^-01} 
{ 4.14482433598000*10^-01,  -5.89702688825000*10^-01,   6.93148650025000*10^-01} 
{-7.42757432327000*10^-01,   6.98570676930000*10^-02,  -6.65906439987000*10^-01} 
{ 5.40094022207000*10^-01,  -3.56518886586000*10^-01,   7.62359974476000*10^-01} 
{ 5.38903653013000*10^-01,   8.28601738216000*10^-01,   1.51664142745000*10^-01} 
{-5.02808891624000*10^-01,   5.48835151240000*10^-01,   6.67804758344000*10^-01} 
{ 5.07330642580000*10^-01,  -8.56941206875000*10^-01,   9.09251728620000*10^-02} 
{-4.11619280108000*10^-01,   2.01008421205000*10^-01,  -8.88912359487000*10^-01} 
{ 7.12755152703000*10^-01,   5.38836186808000*10^-01,  -4.49038590859000*10^-01} 
{-2.44272372339000*10^-01,  -9.56085994524000*10^-01,  -1.61958572442000*10^-01} 
{-4.46041322650000*10^-02,  -7.97307326361000*10^-01,  -6.01923166787000*10^-01} 
{ 7.61611913701000*10^-01,   6.17620764704000*10^-01,  -1.96193485917000*10^-01} 
{ 2.02784324099000*10^-01,  -2.01693908362000*10^-01,  -9.58226531270000*10^-01} 
{ 4.76742730392000*10^-01,   2.38951222238000*10^-01,   8.45942481739000*10^-01} 
{-2.08817965847000*10^-01,  -9.33082123819000*10^-01,  -2.92835802710000*10^-01} 
{ 4.51470845022000*10^-01,   7.97243103979000*10^-01,   4.00721236339000*10^-01} 
{-6.17310708098000*10^-01,   4.49764162965000*10^-01,  -6.45476325964000*10^-01} 
{ 5.82110700603000*10^-01,  -7.37892242990000*10^-02,  -8.09754458229000*10^-01} 
{-1.00746930848000*10^-01,  -2.28168545148000*10^-01,   9.68395152265000*10^-01} 
