{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 4.48616140293000*10^-01,  -3.04757028025000*10^-01,   8.40158742464000*10^-01} 
{-6.20817484091000*10^-01,   1.56206559961000*10^-01,  -7.68235095575000*10^-01} 
{-6.43058019337000*10^-01,  -1.93685232018000*10^-01,  -7.40919978584000*10^-01} 
{ 5.91760081785000*10^-01,   8.03966464677000*10^-01,  -5.88041604080000*10^-02} 
{-1.85999496979000*10^-01,  -5.05353779859000*10^-01,  -8.42627880090000*10^-01} 
{-7.77688022508000*10^-01,   4.87084301162000*10^-01,   3.97429519801000*10^-01} 
{-2.67933603094000*10^-01,   6.09399767087000*10^-01,   7.46219477237000*10^-01} 
{-7.55030421229000*10^-01,   6.55607121606000*10^-01,  -1.04098567730000*10^-02} 
{-6.32551633205000*10^-01,   6.56770162668000*10^-01,  -4.10525741895000*10^-01} 
{ 3.97880792148000*10^-01,  -7.97839767618000*10^-01,  -4.52926683302000*10^-01} 
{ 7.46665059909000*10^-01,   3.23073105879000*10^-01,   5.81476617388000*10^-01} 
{-9.40274709620000*10^-02,   9.53225299923000*10^-01,  -2.87263576338000*10^-01} 
{ 8.58027937302000*10^-01,   4.27020757301000*10^-01,  -2.85379276829000*10^-01} 
{ 2.74021598281000*10^-01,   1.90143800251000*10^-01,  -9.42739358944000*10^-01} 
{ 8.23737517311000*10^-01,  -5.02335105556000*10^-01,   2.62899114300000*10^-01} 
{ 8.60207505938000*10^-01,   1.61346420767000*10^-01,   4.83746192991000*10^-01} 
{ 3.59700598634000*10^-01,  -9.26728019299000*10^-01,  -1.08584794462000*10^-01} 
{-3.88515944416000*10^-01,   9.21381562825000*10^-01,  -1.05535122940000*10^-02} 
{-3.77236671273000*10^-01,  -1.09557668760000*10^-01,  -9.19613838012000*10^-01} 
{-4.91532577198000*10^-01,   2.75984066086000*10^-01,   8.25971259076000*10^-01} 
{-7.47483520873000*10^-01,  -4.87409657279000*10^-01,   4.51331598732000*10^-01} 
{-8.99649190090000*10^-01,  -4.17421011900000*10^-01,   1.28027472034000*10^-01} 
{-5.68970839929000*10^-01,  -2.86673344686000*10^-01,   7.70772714071000*10^-01} 
{ 3.87223983062000*10^-01,  -9.16085060113000*10^-01,   1.04142928606000*10^-01} 
{-5.81957415955000*10^-01,  -6.74881870841000*10^-01,  -4.53718003197000*10^-01} 
{ 5.26685645506000*10^-01,  -4.63623039756000*10^-01,   7.12499759877000*10^-01} 
{ 3.65111496825000*10^-01,   3.85497300003000*10^-01,  -8.47399213227000*10^-01} 
{ 6.96210108467000*10^-01,  -7.82174159270000*10^-02,   7.13563956989000*10^-01} 
{-1.84145374446000*10^-01,   4.21986979566000*10^-01,  -8.87703480982000*10^-01} 
{-6.18942117609000*10^-01,  -9.39597333830000*10^-02,   7.79796270543000*10^-01} 
{ 4.79649984164000*10^-01,   4.56795724393000*10^-01,   7.49181926416000*10^-01} 
{-1.87526628586000*10^-01,  -9.76607532830000*10^-01,  -1.05221149919000*10^-01} 
{-4.47602803987000*10^-01,   1.16928881340000*10^-01,  -8.86554773588000*10^-01} 
{-3.08902956801000*10^-01,  -4.92689170228000*10^-01,   8.13533247520000*10^-01} 
{ 3.15516002738000*10^-01,  -6.86958237414000*10^-01,  -6.54628163208000*10^-01} 
{ 9.79978429942000*10^-01,  -1.46678733068000*10^-01,  -1.34638872966000*10^-01} 
