{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 9.86883728705000*10^-01,   0.00000000000000*10^+00,   1.61432667134000*10^-01}  
{-5.40773139260000*10^-01,   5.99383066072000*10^-01,   5.90173154220000*10^-01}  
{-7.81026120016000*10^-01,  -3.68738609331000*10^-01,   5.04013926238000*10^-01}  
{-7.67600463489000*10^-01,   5.14115409992000*10^-01,  -3.82720359611000*10^-01}  
{ 1.32740863328000*10^-01,   6.01112900955000*10^-01,   7.88062905806000*10^-01}  
{-7.60957255372000*10^-01,   6.47786115287000*10^-01,   3.62933098280000*10^-02}  
{ 6.80426276450000*10^-01,   8.43924138430000*10^-02,  -7.27940933595000*10^-01}  
{ 6.66510320589000*10^-01,  -2.49887626495000*10^-01,  -7.02367543864000*10^-01}  
{ 3.21233550110000*10^-02,  -7.04588667814000*10^-01,   7.08888495640000*10^-01}  
{ 5.38717172108000*10^-01,   8.38467335733000*10^-01,  -8.21969305000000*10^-02}  
{ 2.37175976560000*10^-02,   1.66536548600000*10^-01,   9.85749995456000*10^-01}  
{ 1.08883555608000*10^-01,  -9.34689299290000*10^-01,   3.38378907603000*10^-01}  
{-3.97122078429000*10^-01,  -5.17754578920000*10^-02,  -9.16304183546000*10^-01}  
{-7.38673982813000*10^-01,  -3.44866734353000*10^-01,  -5.79161188834000*10^-01}  
{-6.58705411310000*10^-01,   7.51479123874000*10^-01,  -3.72331504340000*10^-02}  
{-9.41127262710000*10^-02,  -1.23252173012000*10^-01,  -9.87902675673000*10^-01}  
{-2.84710987033000*10^-01,  -8.05986428024000*10^-01,  -5.18965829034000*10^-01}  
{-2.60259830811000*10^-01,   9.63751893019000*10^-01,  -5.87120870710000*10^-02}  
{ 9.59554244867000*10^-01,  -1.30157910814000*10^-01,   2.49628863337000*10^-01}  
{-3.46950803621000*10^-01,  -9.37054340564000*10^-01,  -3.94246458040000*10^-02}  
{ 9.66057924065000*10^-01,  -6.74511295870000*10^-02,  -2.49364056086000*10^-01}  
{ 9.23454276009000*10^-01,   1.12010798950000*10^-02,  -3.83544959463000*10^-01}  
{-4.29693988697000*10^-01,  -3.29848991296000*10^-01,  -8.40572851702000*10^-01}  
{ 8.61754232260000*10^-01,   3.60427738288000*10^-01,   3.57031495325000*10^-01}  
{-2.31613657284000*10^-01,   8.89587448315000*10^-01,   3.93686786113000*10^-01}  
{ 1.12724508310000*10^-01,  -8.95757991113000*10^-01,  -4.30012565611000*10^-01}  
{ 2.13980957192000*10^-01,  -8.17027833522000*10^-01,  -5.35422888200000*10^-01}  
{-4.10298935826000*10^-01,   1.45392648954000*10^-01,   9.00286488230000*10^-01}  
{ 7.50255800068000*10^-01,   2.81072956205000*10^-01,   5.98426459772000*10^-01}  
{ 6.90386256418000*10^-01,   5.65711871365000*10^-01,  -4.50928925160000*10^-01}  
{-4.65054874510000*10^-02,  -9.81964790512000*10^-01,  -1.83254985831000*10^-01}  
{ 8.96921218624000*10^-01,  -3.92864505803000*10^-01,  -2.02952722727000*10^-01}  
{ 3.12641190873000*10^-01,   8.31178606439000*10^-01,   4.59779958205000*10^-01}  
{ 4.51295618516000*10^-01,   1.50468783535000*10^-01,   8.79597299842000*10^-01}  
{-6.71000981342000*10^-01,  -1.72886294562000*10^-01,   7.21018732205000*10^-01}  
{-7.03446125147000*10^-01,  -6.83709445970000*10^-01,   1.94177605572000*10^-01}  
{ 6.63558104350000*10^-02,   6.81957373680000*10^-01,  -7.28375622124000*10^-01}  
{-5.74781862401000*10^-01,   5.83221699349000*10^-01,  -5.74001968693000*10^-01}  
{-1.99856951979000*10^-01,  -5.10461291057000*10^-01,  -8.36353076803000*10^-01}  
{-5.60090410564000*10^-01,  -8.87231407800000*10^-02,   8.23666762887000*10^-01}  
{-7.69387543699000*10^-01,  -8.90722272380000*10^-02,   6.32541655495000*10^-01}  
{ 2.46245193668000*10^-01,  -9.66539970506000*10^-01,   7.18595157910000*10^-02}  
{ 9.68986165466000*10^-01,   1.61887319417000*10^-01,   1.86703794677000*10^-01}  
{-2.96325104814000*10^-01,  -8.48251472626000*10^-01,   4.38931511108000*10^-01}  
{ 3.74433059498000*10^-01,  -4.42599030760000*10^-01,   8.14804259884000*10^-01}  
{ 9.11275952672000*10^-01,  -1.59175381137000*10^-01,  -3.79788541324000*10^-01}  
{-6.52791882650000*10^-01,   6.18690981289000*10^-01,  -4.37131819498000*10^-01}  
{ 6.47217199670000*10^-01,   2.82782057050000*10^-02,   7.61780965589000*10^-01}  
{-3.20253742893000*10^-01,   3.61754152903000*10^-01,  -8.75540674681000*10^-01}  
{ 4.23427876300000*10^-01,   8.39139125165000*10^-01,   3.41400589029000*10^-01}  
{ 7.74972167300000*10^-01,   3.97974640885000*10^-01,   4.90952467275000*10^-01}  
{-6.28753408643000*10^-01,   7.53131225554000*10^-01,  -1.93552339732000*10^-01}  
{-2.32400739818000*10^-01,   8.61727895949000*10^-01,  -4.51015442613000*10^-01}  
{-2.59554067410000*10^-02,  -9.00708574052000*10^-01,   4.33647762003000*10^-01}  
{-5.01351115225000*10^-01,  -4.44337675729000*10^-01,  -7.42435915881000*10^-01}  
{ 3.70593921124000*10^-01,  -8.83311215316000*10^-01,   2.87091348743000*10^-01}  
{-8.09097577823000*10^-01,  -5.85866576975000*10^-01,  -4.60593480700000*10^-02}  
{ 8.69811912059000*10^-01,   4.90079167273000*10^-01,  -5.70056790580000*10^-02}  
{ 9.48146003391000*10^-01,  -3.12929281007000*10^-01,   5.56275232500000*10^-02}  
{ 1.57765531838000*10^-01,  -2.64393246122000*10^-01,  -9.51423275083000*10^-01}  
{-1.02830500342000*10^-01,   9.89838171065000*10^-01,  -9.82154942030000*10^-02}  
{ 9.91515780470000*10^-01,   3.49182527770000*10^-02,  -1.25208516892000*10^-01}  
{ 4.38205341785000*10^-01,  -8.05602771405000*10^-01,   3.98723278899000*10^-01}  
{ 5.66656903949000*10^-01,   6.66665389534000*10^-01,  -4.84207818611000*10^-01}  
{ 6.62052704330000*10^-02,  -4.03635976908000*10^-01,  -9.12521156090000*10^-01}  
{ 4.46144819376000*10^-01,   7.50035590019000*10^-01,   4.88263672464000*10^-01}  
{-8.91953331817000*10^-01,  -1.43007509046000*10^-01,  -4.28915033797000*10^-01}  
{-5.94542556116000*10^-01,   6.66205863587000*10^-01,   4.50209835842000*10^-01}  
{-6.70774275464000*10^-01,  -6.09273105800000*10^-03,   7.41636534971000*10^-01}  
{-6.33614192225000*10^-01,   3.10857769455000*10^-01,   7.08449364867000*10^-01}  
{ 6.48265169878000*10^-01,   7.25287306463000*10^-01,   2.31755458635000*10^-01}  
{ 6.28372953974000*10^-01,   2.95799126754000*10^-01,   7.19479191725000*10^-01}  
{ 7.50461396544000*10^-01,  -6.57376277970000*10^-01,  -6.82943735530000*10^-02}  
{ 7.75556251273000*10^-01,  -5.16639276653000*10^-01,   3.62762124445000*10^-01}  
{-7.44671833074000*10^-01,  -5.10649765279000*10^-01,   4.29768168024000*10^-01}  
{-9.64833341629000*10^-01,  -2.60116169400000*10^-02,   2.61572205453000*10^-01}  
{ 7.39080744554000*10^-01,  -6.65493978917000*10^-01,   1.04294856317000*10^-01}  
{ 7.21593254423000*10^-01,   6.85932209255000*10^-01,   9.38092718150000*10^-02}  
{-5.08437580765000*10^-01,   7.79973193363000*10^-01,   3.64874011270000*10^-01}  
{-1.12034467923000*10^-01,  -4.00710333772000*10^-01,  -9.09329151851000*10^-01}  
{ 5.31916470556000*10^-01,   4.27015088864000*10^-01,   7.31247551951000*10^-01}  
{ 9.50930766210000*10^-01,   3.93972779280000*10^-02,   3.06885210407000*10^-01}  
{ 2.42848815187000*10^-01,   9.63618572081000*10^-01,  -1.11640944566000*10^-01}  
{ 5.40708730460000*10^-02,  -6.41513422712000*10^-01,  -7.65203808909000*10^-01}  
{-6.62402584959000*10^-01,   5.06362464100000*10^-02,  -7.47434803839000*10^-01}  
{ 2.56734853281000*10^-01,  -9.62900754728000*10^-01,  -8.31225099130000*10^-02}  
{ 9.29603693840000*10^-02,  -4.29180914257000*10^-01,   8.98422012509000*10^-01}  
{ 1.60208592505000*10^-01,   7.16990889157000*10^-01,   6.78422635054000*10^-01}  
{ 3.98566993121000*10^-01,  -9.16900046055000*10^-01,  -2.09441528640000*10^-02}  
{-4.99465798695000*10^-01,   3.81747116532000*10^-01,   7.77690847929000*10^-01}  
{ 2.63356261125000*10^-01,  -2.12021451103000*10^-01,   9.41111249533000*10^-01}  
{-5.41975533088000*10^-01,  -5.28141924476000*10^-01,   6.53703777827000*10^-01}  
{ 1.83148873350000*10^-01,  -6.46060462404000*10^-01,   7.40987428442000*10^-01}  
{-9.05205147066000*10^-01,   1.98176973919000*10^-01,   3.75938198024000*10^-01}  
{ 9.80635996460000*10^-02,  -9.94942218706000*10^-01,   2.17603277000000*10^-02}  
{ 2.91951380294000*10^-01,   6.32219686068000*10^-01,   7.17678660748000*10^-01}  
{-3.40732003259000*10^-01,  -9.18426484239000*10^-01,  -2.00983817767000*10^-01}  
{ 9.99198570770000*10^-01,  -3.80175577100000*10^-02,   1.25252335820000*10^-02}  
{-6.00503805053000*10^-01,  -7.91352987324000*10^-01,   1.14697992873000*10^-01}  
{-9.31198843214000*10^-01,  -3.11333242255000*10^-01,  -1.89579341341000*10^-01}  
{ 4.41158213601000*10^-01,   6.49266009942000*10^-01,   6.19542636876000*10^-01}  
{-1.47974839015000*10^-01,  -5.76212642020000*10^-02,   9.87311114558000*10^-01}  
{-5.24651785247000*10^-01,   8.44070407051000*10^-01,  -1.10840661216000*10^-01}  
{ 6.80823374620000*10^-01,   5.32452286946000*10^-01,   5.02965301683000*10^-01}  
{ 2.22707429866000*10^-01,   3.73267588349000*10^-01,   9.00595751806000*10^-01}  
{-7.95975822869000*10^-01,  -1.69992585249000*10^-01,  -5.80969027030000*10^-01}  
{-9.78551855793000*10^-01,  -1.66175529088000*10^-01,  -1.21745468318000*10^-01}  
{-1.47836117779000*10^-01,   1.89382369705000*10^-01,  -9.70710461634000*10^-01}  
{ 3.96333023589000*10^-01,   9.12887905321000*10^-01,  -9.77538067370000*10^-02}  
