{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 9.98283936911000*10^-01,   0.00000000000000*10^+00,   5.85592119630000*10^-02} 
{-6.06352217943000*10^-01,   3.02141223250000*10^-01,   7.35559425885000*10^-01} 
{ 1.11736751803000*10^-01,   7.24471148300000*10^-01,  -6.80188542668000*10^-01} 
{-8.62350604426000*10^-01,   4.08510513013000*10^-01,   2.99116358302000*10^-01} 
{ 4.59961650506000*10^-01,  -3.14174039538000*10^-01,  -8.30499821159000*10^-01} 
{-3.10550395824000*10^-01,  -7.77214508911000*10^-01,  -5.47262330872000*10^-01} 
{ 1.70232299912000*10^-01,  -4.21737892981000*10^-01,   8.90594247506000*10^-01} 
{-9.44561735360000*10^-01,   3.21258187869000*10^-01,   6.77960531360000*10^-02} 
{-8.65276748523000*10^-01,   4.87160268547000*10^-01,  -1.18199074509000*10^-01} 
{-9.95638387820000*10^-02,   6.76976958759000*10^-01,   7.29238808153000*10^-01} 
{ 1.16218243494000*10^-01,   3.14221127789000*10^-01,  -9.42209320019000*10^-01} 
{-8.39880220488000*10^-01,  -2.58844607722000*10^-01,   4.77075134843000*10^-01} 
{-7.53714696724000*10^-01,  -6.52525991749000*10^-01,   7.82559009520000*10^-02} 
{-9.01551858889000*10^-01,  -1.68358824219000*10^-01,   3.98571890682000*10^-01} 
{-9.83048182278000*10^-01,  -7.96979616540000*10^-02,  -1.65119672444000*10^-01} 
{-1.47713992820000*10^-01,   9.68398126862000*10^-01,   2.00961797900000*10^-01} 
{-7.21446527682000*10^-01,   4.78518663562000*10^-01,   5.00534510617000*10^-01} 
{-3.62805788816000*10^-01,  -2.22437334947000*10^-01,  -9.04927395774000*10^-01} 
{-4.15386463102000*10^-01,  -1.10782819950000*10^-01,  -9.02873885477000*10^-01} 
{ 9.15857705350000*10^-02,  -6.93987397461000*10^-01,   7.14138319095000*10^-01} 
{ 3.79746291145000*10^-01,  -8.41414234170000*10^-01,   3.84466956834000*10^-01} 
{-2.37695789768000*10^-01,  -2.26743132816000*10^-01,  -9.44504242048000*10^-01} 
{ 8.80220091624000*10^-01,  -1.06662130415000*10^-01,   4.62423810196000*10^-01} 
{ 6.35875333540000*10^-01,   1.60751167379000*10^-01,   7.54865300820000*10^-01} 
{ 3.36596108551000*10^-01,  -6.25024305442000*10^-01,  -7.04306522272000*10^-01} 
{-9.85468615093000*10^-01,   1.12811704275000*10^-01,   1.26984755165000*10^-01} 
