{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{7.33337254948000*10^-01,   0.00000000000000*10^+00,   6.79865038449000*10^-01} 
{-4.17055763873000*10^-01,  -8.93307362557000*10^-01,  -1.67530432526000*10^-01} 
{-2.31459652295000*10^-01,   6.20867918228000*10^-01,   7.48965591649000*10^-01} 
{1.53720722228000*10^-01,  -9.60402627786000*10^-01,   2.32371969262000*10^-01} 
{-3.86403049824000*10^-01,  -6.60680556457000*10^-01,   6.43578965944000*10^-01} 
{-7.70974308635000*10^-01,   5.60554032576000*10^-01,   3.02287598136000*10^-01} 
{-9.58615454610000*10^-02,   9.86832404302000*10^-01,   1.30278048502000*10^-01} 
{9.97761348490000*10^-02,   7.72716881062000*10^-01,  -6.26859908302000*10^-01} 
{8.17272650833000*10^-01,  -5.59871371580000*10^-01,   1.36416500051000*10^-01} 
{2.37289568010000*10^-01,   8.12689795260000*10^-02,  -9.68033580967000*10^-01} 
{3.40528822400000*10^-01,  -8.41361953345000*10^-01,  -4.19702495320000*10^-01} 
{-9.61077098133000*10^-01,   1.53383312063000*10^-01,  -2.29792016886000*10^-01} 
{-8.87079526998000*10^-01,  -4.27826560064000*10^-01,   1.73361896864000*10^-01} 
{7.21278828476000*10^-01,   4.01185404053000*10^-01,  -5.64630076393000*10^-01} 
{-5.52793409766000*10^-01,   7.45285633937000*10^-01,  -3.72785152555000*10^-01} 
{5.79769476922000*10^-01,   8.14726400286000*10^-01,  -9.39395057300000*10^-03} 
{-7.63038361880000*10^-02,  -5.23092247019000*10^-01,  -8.48853477163000*10^-01} 
{4.55997428744000*10^-01,   6.17084425409000*10^-01,   6.41305821661000*10^-01} 
{7.63322681570000*10^-01,  -3.10680233122000*10^-01,  -5.66406458780000*10^-01} 
{-4.50845325513000*10^-01,   2.26543333319000*10^-01,  -8.63375127388000*10^-01} 
{-7.07464737219000*10^-01,  -3.98681443623000*10^-01,  -5.83563837212000*10^-01} 
{9.84975507789000*10^-01,   1.64024470943000*10^-01,   5.40298249890000*10^-02} 
{3.40426259591000*10^-01,  -5.60578619731000*10^-01,   7.54891762362000*10^-01} 
{-6.90732644971000*10^-01,  -7.17297227900000*10^-03,   7.23074658413000*10^-01}
