{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 9.25584459762000*10^-01,  -2.54506173130000*10^-01,  -2.80214231770000*10^-01}  
{ 8.61866730317000*10^-01,  -1.73126139133000*10^-01,  -4.76668731008000*10^-01}  
{-7.43882260610000*10^-01,   6.50343317486000*10^-01,  -1.53924500163000*10^-01}  
{-9.86019999867000*10^-01,   1.58049444489000*10^-01,   5.27724640290000*10^-02}  
{ 3.43422352076000*10^-01,   4.56188930735000*10^-01,  -8.20946251328000*10^-01}  
{-3.40898203420000*10^-02,   2.16432245369000*10^-01,   9.75702294408000*10^-01}  
{ 6.62106849154000*10^-01,   3.92294899955000*10^-01,   6.38528959227000*10^-01}  
{-6.17143323083000*10^-01,  -7.04457794918000*10^-01,   3.50532928486000*10^-01}  
{-8.77317131436000*10^-01,  -3.37724751232000*10^-01,   3.40964284485000*10^-01}  
{-1.37713797829000*10^-01,  -1.38120949020000*10^-02,   9.90375754914000*10^-01}  
{-4.16107550629000*10^-01,  -4.35727602409000*10^-01,  -7.98120268386000*10^-01}  
{ 3.73555412181000*10^-01,   3.41210619117000*10^-01,  -8.62572702694000*10^-01}  
{-8.11675510087000*10^-01,  -2.50484422061000*10^-01,   5.27674540441000*10^-01}  
{ 5.83915213496000*10^-01,  -7.14393467036000*10^-01,  -3.85596936844000*10^-01}  
{-9.10554514778000*10^-01,   1.74808261373000*10^-01,  -3.74609860219000*10^-01}  
{-8.01054223687000*10^-01,   5.91790331457000*10^-01,   8.99796327390000*10^-02}  
{-8.25552356933000*10^-01,   4.22523218691000*10^-01,   3.74082124178000*10^-01}  
{-4.39278424530000*10^-02,   2.56600779302000*10^-01,  -9.65518712775000*10^-01}  
{ 5.98473834488000*10^-01,  -7.55477780549000*10^-01,  -2.66612813889000*10^-01}  
{ 4.63207873171000*10^-01,   2.76286761690000*10^-02,   8.85818899373000*10^-01}  
{-6.47062404608000*10^-01,   4.13571273840000*10^-01,  -6.40522478917000*10^-01}  
{-7.17952628619000*10^-01,   3.14075721633000*10^-01,  -6.21208873198000*10^-01}  
{-2.05102905755000*10^-01,   3.85158092710000*10^-01,  -8.99769993760000*10^-01}  
{-1.83918566825000*10^-01,  -5.97258508257000*10^-01,   7.80676780167000*10^-01}  
{-5.02469354920000*10^-02,   6.39130698348000*10^-01,  -7.67455012299000*10^-01}  
{-4.12350520967000*10^-01,   5.95729761732000*10^-01,   6.89255467041000*10^-01}  
{ 2.81340239598000*10^-01,   8.36800646804000*10^-01,   4.69693886581000*10^-01}  
{-1.08363708543000*10^-01,   3.07546157630000*10^-01,   9.45342619159000*10^-01}  
{ 5.08818204177000*10^-01,  -8.55386046876000*10^-01,  -9.70502236390000*10^-02}  
{ 3.39415368226000*10^-01,   8.42035563054000*10^-01,  -4.19253286647000*10^-01}  
{ 6.09015001240000*10^-01,  -2.79073287137000*10^-01,  -7.42441128085000*10^-01}  
{ 8.18669629233000*10^-01,  -9.47222710260000*10^-02,   5.66398913791000*10^-01}  
{-6.31672037900000*10^-01,   6.83469016167000*10^-01,  -3.65869567571000*10^-01}  
{ 2.34788475691000*10^-01,  -7.68148800892000*10^-01,   5.95669196258000*10^-01}  
{-9.97275258459000*10^-01,   6.77987371550000*10^-02,  -2.90755929630000*10^-02}  
{-8.29948233288000*10^-01,  -5.56314104916000*10^-01,  -4.12376858330000*10^-02}  
{-6.56258690231000*10^-01,   5.96852018951000*10^-01,  -4.61619105941000*10^-01}  
{-1.89858522998000*10^-01,  -9.47549770628000*10^-01,  -2.57105374171000*10^-01}  
{ 1.53697006244000*10^-01,   9.82078862831000*10^-01,  -1.09079500606000*10^-01}  
{ 3.54745613399000*10^-01,   7.67675713887000*10^-01,   5.33694245877000*10^-01}  
{-1.36200871745000*10^-01,   1.64041989295000*10^-01,  -9.77005398288000*10^-01}  
{ 2.98501595237000*10^-01,   2.55289167523000*10^-01,  -9.19632665028000*10^-01}  
{ 4.94556093772000*10^-01,  -2.12486497328000*10^-01,   8.42771474699000*10^-01}  
{-5.95198664492000*10^-01,   8.00713447280000*10^-01,  -6.77976779250000*10^-02}  
{ 5.78204063980000*10^-02,  -2.56824253775000*10^-01,   9.64726957889000*10^-01}  
{ 2.85863667114000*10^-01,   1.47839841018000*10^-01,   9.46797415096000*10^-01}  
