{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{7.03648529172000*10^-01,   0.00000000000000*10^+00,  -7.10548202020000*10^-01}
{-3.51823383300000*10^-01,  -8.66025719041000*10^-01,   3.55274205259000*10^-01}
{-3.51825207762000*10^-01,   8.66024999286000*10^-01,   3.55274153007000*10^-01}
{-2.49987432648000*10^-01,  -6.15353391443000*10^-01,  -7.47560356866000*10^-01}
{-9.99952392804000*10^-01,  -8.99465000000000*10^-07,   9.75767001300000*10^-03}
{-2.49988528495000*10^-01,   6.15352399182000*10^-01,  -7.47560807187000*10^-01}
{7.49963476078000*10^-01,   6.15354121088000*10^-01,   2.42681046250000*10^-01}
{7.49965039914000*10^-01,  -6.15351747641000*10^-01,   2.42682231699000*10^-01}
