{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 6.96964794279000*10^-01,  -1.00830474710000*10^-01,   7.09981190530000*10^-01} 
{ 5.26197445846000*10^-01,   8.09337709171000*10^-01,   2.60938154548000*10^-01} 
{ 6.65961249798000*10^-01,  -5.65110212701000*10^-01,   4.86976448372000*10^-01} 
{ 7.10662199859000*10^-01,   4.55304752225000*10^-01,  -5.36336480480000*10^-01} 
{-9.88914545660000*10^-01,   1.41743740349000*10^-01,   4.42349799790000*10^-02} 
{ 8.41428048305000*10^-01,  -5.00391006206000*10^-01,  -2.03979607888000*10^-01} 
{-4.78517729344000*10^-01,   1.17461084772000*10^-01,   8.70186000961000*10^-01} 
{ 9.59649206788000*10^-01,   6.22489320260000*10^-02,  -2.74223395012000*10^-01} 
{-9.85390990300000*10^-02,  -9.22929478004000*10^-01,   3.72144091171000*10^-01} 
{ 3.11288345920000*10^-02,  -9.99462389611000*10^-01,  -1.02921042370000*10^-02} 
{ 8.60769786272000*10^-01,   5.06401370418000*10^-01,  -5.13130303210000*10^-02} 
{-9.50002471305000*10^-01,   2.28983080536000*10^-01,  -2.12278245100000*10^-01} 
{-2.76178043458000*10^-01,  -1.22414459906000*10^-01,   9.53278756879000*10^-01} 
{-1.57729618031000*10^-01,   5.90645783586000*10^-01,   7.91365229163000*10^-01} 
{-3.88842987918000*10^-01,   8.90045357474000*10^-01,  -2.37950399005000*10^-01} 
{ 4.64669417081000*10^-01,  -2.55107586973000*10^-01,   8.47940122826000*10^-01} 
{-7.91099901112000*10^-01,   2.82509210838000*10^-01,   5.42539853147000*10^-01} 
{-7.25116432582000*10^-01,  -4.72813542315000*10^-01,   5.00653086880000*10^-01} 
{ 2.44198111437000*10^-01,  -1.19713511354000*10^-01,  -9.62307621070000*10^-01} 
{ 5.54607805495000*10^-01,   7.06554423268000*10^-01,  -4.39535014582000*10^-01} 
{-2.18148038541000*10^-01,   1.52338759573000*10^-01,   9.63952455058000*10^-01} 
{-2.46418759465000*10^-01,   4.63017672803000*10^-01,  -8.51406148472000*10^-01} 
{ 2.74397519572000*10^-01,   3.80680802548000*10^-01,   8.83056129487000*10^-01} 
{ 8.36242231303000*10^-01,  -4.75421458936000*10^-01,   2.73264280449000*10^-01} 
{-3.82087486557000*10^-01,  -8.51651865878000*10^-01,  -3.58745385981000*10^-01} 
{-3.39943130738000*10^-01,  -1.38436409310000*10^-02,  -9.40344097376000*10^-01} 
{-6.22891801626000*10^-01,  -7.06008330526000*10^-01,   3.36983739511000*10^-01} 
{-2.87714366533000*10^-01,  -7.34686779804000*10^-01,  -6.14374298674000*10^-01} 
{ 8.61405931957000*10^-01,  -6.59973629560000*10^-02,  -5.03611128226000*10^-01} 
{ 1.81607208092000*10^-01,  -8.53618816438000*10^-01,   4.88214848393000*10^-01} 
{-2.42715829048000*10^-01,  -2.90466877645000*10^-01,  -9.25590632688000*10^-01} 
{ 7.15509014686000*10^-01,   1.66902588308000*10^-01,   6.78373330784000*10^-01} 
{ 7.61327872684000*10^-01,   5.77897921752000*10^-01,  -2.93962348454000*10^-01} 
{-4.31504674890000*10^-01,  -8.72676311088000*10^-01,   2.28560214415000*10^-01} 
{-9.40399364432000*10^-01,  -3.30268290070000*10^-01,   8.10672063830000*10^-02} 
{-3.72300300080000*10^-02,   6.21815150175000*10^-01,  -7.82278622920000*10^-01} 
{-4.35828588693000*10^-01,  -8.97547536620000*10^-01,  -6.67971615040000*10^-02} 
{ 5.28734392572000*10^-01,  -4.83608259663000*10^-01,  -6.97540675013000*10^-01} 
{-5.90223032850000*10^-01,   4.36851426970000*10^-02,  -8.06057305532000*10^-01} 
{ 2.23052878562000*10^-01,  -4.28266980253000*10^-01,   8.75691045398000*10^-01} 
{ 4.35634180399000*10^-01,  -5.42607233755000*10^-01,   7.18192349406000*10^-01} 
{ 4.39327654775000*10^-01,  -7.38157534192000*10^-01,   5.11971353168000*10^-01} 
{-9.90926272494000*10^-01,  -9.36352836680000*10^-02,  -9.64238359250000*10^-02} 
{-5.86215593078000*10^-01,   3.44566792088000*10^-01,   7.33229162147000*10^-01} 
{ 3.08976947410000*10^-02,   8.06063097360000*10^-01,  -5.91022516943000*10^-01} 
{ 9.20865566520000*10^-02,  -5.49233050829000*10^-01,  -8.30579991308000*10^-01} 
{-9.73338763456000*10^-01,  -7.90510397000000*10^-02,   2.15319726629000*10^-01} 
{ 6.88917835752000*10^-01,  -5.49229706182000*10^-01,  -4.73010513022000*10^-01} 
{-9.19338277588000*10^-01,  -3.35848228902000*10^-01,  -2.04995362154000*10^-01} 
{ 2.38833500469000*10^-01,  -1.51296976664000*10^-01,   9.59201638815000*10^-01} 
{-6.53552273699000*10^-01,  -7.54588665630000*10^-01,   5.88674039320000*10^-02} 
{ 6.83124274022000*10^-01,   1.72166208480000*10^-02,  -7.30099181077000*10^-01} 
{ 3.03761127499000*10^-01,  -6.55105519352000*10^-01,  -6.91784602268000*10^-01} 
{-1.78942107980000*10^-02,   9.92156326696000*10^-01,   1.23715886677000*10^-01} 
{ 6.49848878031000*10^-01,   4.48818320311000*10^-01,   6.13399177596000*10^-01} 
{ 4.07818299192000*10^-01,  -8.75154393444000*10^-01,  -2.60363251017000*10^-01} 
{-8.37325428307000*10^-01,   3.05372483585000*10^-01,  -4.53468602419000*10^-01} 
{-8.14103345552000*10^-01,  -5.37616303934000*10^-01,   2.19555124069000*10^-01} 
{-5.45234083341000*10^-01,  -6.69912743625000*10^-01,  -5.03921333436000*10^-01} 
{-8.73400774448000*10^-01,  -9.82894918500000*10^-03,   4.86902946131000*10^-01} 
