{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{7.53978824073000*10^-01,   0.00000000000000*10^+00,   6.56898723434000*10^-01} 
{3.90242135404000*10^-01,   8.06032074954000*10^-01,  -4.44998168424000*10^-01} 
{4.94869602332000*10^-01,  -1.27854920906000*10^-01,  -8.59509857936000*10^-01} 
{3.55503473986000*10^-01,   8.06424122874000*10^-01,   4.72543557812000*10^-01} 
{-4.46397177021000*10^-01,   8.79481067712000*10^-01,  -1.65053360715000*10^-01} 
{1.68791062107000*10^-01,  -8.79481021131000*10^-01,  -4.44997427885000*10^-01} 
{9.50370026986000*10^-01,   2.63731117349000*10^-01,  -1.65053656574000*10^-01} 
{-5.91868553094000*10^-01,  -8.06032223202000*10^-01,   1.91599013900000*10^-03} 
{-5.27292524396000*10^-01,   5.93408701303000*10^-01,   6.08135434697000*10^-01} 
{-7.48743750927000*10^-01,  -2.63731093071000*10^-01,   6.08135433925000*10^-01} 
{-9.73131512786000*10^-01,   1.27854998926000*10^-01,  -1.91489315819000*10^-01} 
{-2.60381218011000*10^-01,   3.93874693307000*10^-01,  -8.81512533819000*10^-01} 
{8.04899141573000*10^-01,  -5.93408545353000*10^-01,   1.91577591800000*10^-03} 
{1.22758388462000*10^-01,  -8.06424045147000*10^-01,   5.78455389352000*10^-01} 
{-4.93598041398000*10^-01,  -3.93874951475000*10^-01,  -7.75386030393000*10^-01}
