{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-5.54861736077000*10^-01,   7.56909308215000*10^-01,   3.45277791025000*10^-01}  
{ 2.04319627506000*10^-01,   8.40749048758000*10^-01,  -5.01392587529000*10^-01}  
{-5.06462672762000*10^-01,  -6.85762579469000*10^-01,  -5.22709523252000*10^-01}  
{-4.03934153909000*10^-01,  -8.91260053547000*10^-01,   2.06137614855000*10^-01}  
{ 2.85644848588000*10^-01,  -2.94034950215000*10^-01,   9.12113188440000*10^-01}  
{ 5.38833219876000*10^-01,   2.63531865567000*10^-01,  -8.00131062382000*10^-01}  
{-9.45235394235000*10^-01,   3.11376537806000*10^-01,   9.78504020870000*10^-02}  
{ 3.06037417092000*10^-01,  -3.55520371018000*10^-01,  -8.83145721345000*10^-01}  
{ 5.03757660876000*10^-01,   8.50868932184000*10^-01,  -1.49165275293000*10^-01}  
{ 2.68779488870000*10^-02,  -4.31489509791000*10^-01,  -9.01717460629000*10^-01}  
{-7.84748026319000*10^-01,   3.57334562714000*10^-01,  -5.06441058247000*10^-01}  
{ 9.33129839063000*10^-01,  -3.21186226612000*10^-01,   1.61580046059000*10^-01}  
{ 5.97100041389000*10^-01,   9.41779130030000*10^-02,   7.96619144432000*10^-01}  
{ 8.22750605653000*10^-01,  -5.64853495085000*10^-01,   6.34190033650000*10^-02}  
{ 1.42303195254000*10^-01,  -3.27676612280000*10^-01,   9.34011690711000*10^-01}  
{ 4.44432780964000*10^-01,  -8.84317440022000*10^-01,   1.43046036221000*10^-01}  
{-9.61659482748000*10^-01,   1.17120451064000*10^-01,  -2.47979513637000*10^-01}  
{-6.50634171142000*10^-01,  -2.99679810538000*10^-01,   6.97758687870000*10^-01}  
{-4.71500691108000*10^-01,   3.27893802520000*10^-02,  -8.81255896336000*10^-01}  
{-9.62259517617000*10^-01,   1.96948822882000*10^-01,   1.87797182941000*10^-01}  
{-6.76607863287000*10^-01,  -5.38436962805000*10^-01,   5.02282227859000*10^-01}  
{-1.80766358443000*10^-01,  -2.16101747468000*10^-01,  -9.59491301887000*10^-01}  
{-9.74847672719000*10^-01,  -1.72701082821000*10^-01,   1.40877077579000*10^-01}  
{-8.15121057038000*10^-01,  -1.69498590450000*10^-01,   5.53938525658000*10^-01}  
{ 9.95388052305000*10^-01,   8.81460744800000*10^-03,  -9.55244891340000*10^-02}  
{-3.63120308186000*10^-01,   9.06078128558000*10^-01,  -2.17177500518000*10^-01}  
{ 6.54447431280000*10^-01,  -4.80878522694000*10^-01,   5.83484709399000*10^-01}  
{-3.45034969254000*10^-01,   8.68730463953000*10^-01,  -3.55328370654000*10^-01}  
{-4.50351398806000*10^-01,  -2.25213239606000*10^-01,  -8.63980679356000*10^-01}  
{ 9.78240105520000*10^-02,  -9.93959241304000*10^-01,   4.97542921420000*10^-02}  
{ 3.40328405562000*10^-01,  -2.16697847423000*10^-01,  -9.14996513266000*10^-01}  
{-9.98781121612000*10^-01,   4.36388188880000*10^-02,  -2.30634905630000*10^-02}  
{-6.00026771480000*10^-01,   3.25821771197000*10^-01,   7.30621685225000*10^-01}  
{ 3.24971678280000*10^-01,  -5.13348037156000*10^-01,   7.94271490779000*10^-01}  
{ 3.68486847101000*10^-01,   5.99414408841000*10^-01,  -7.10577096441000*10^-01}  
{-2.07179844669000*10^-01,  -8.88342410824000*10^-01,  -4.09785642860000*10^-01}  
{-3.85115641692000*10^-01,   5.36218074237000*10^-01,  -7.51103268123000*10^-01}  
{-6.63552484996000*10^-01,  -6.93795403082000*10^-01,  -2.79903623265000*10^-01}  
{ 5.13099319891000*10^-01,   1.99973929422000*10^-01,   8.34709240082000*10^-01}  
{-2.82691956226000*10^-01,  -9.57929862375000*10^-01,  -4.95543807830000*10^-02}  
{-2.27646475065000*10^-01,   9.28311146316000*10^-01,  -2.93965130611000*10^-01}  
{-8.92321340714000*10^-01,   3.64980482284000*10^-01,  -2.65616024475000*10^-01}  
{-7.61045910086000*10^-01,  -6.48596433561000*10^-01,  -1.14799439950000*10^-02}  
{ 5.32691935963000*10^-01,   8.38094715759000*10^-01,   1.17628860304000*10^-01}  
{-5.93632699291000*10^-01,  -6.95697809248000*10^-01,  -4.04480872897000*10^-01}  
{-2.01158519295000*10^-01,  -9.77114426253000*10^-01,   6.91566925370000*10^-02}  
{-3.18103477026000*10^-01,  -2.18158510644000*10^-01,  -9.22614243407000*10^-01}  
{-1.50967404890000*10^-01,   6.37391188881000*10^-01,  -7.55606587450000*10^-01}  
{-3.42748475866000*10^-01,   4.04771060870000*10^-02,  -9.38554785921000*10^-01}  
{ 9.61120869133000*10^-01,  -1.84278545744000*10^-01,   2.05640687839000*10^-01}  
{-9.20033108431000*10^-01,   2.20926793468000*10^-01,  -3.23620814101000*10^-01}  
{ 8.81044935482000*10^-01,   1.17927526391000*10^-01,  -4.58097064148000*10^-01}  
{-2.82244850134000*10^-01,   8.67106504172000*10^-01,   4.10443851208000*10^-01}  
{-7.86314940909000*10^-01,  -4.37183078440000*10^-02,   6.16277148094000*10^-01}  
