{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 7.17116715403000*10^-01,   0.00000000000000*10^+00,  -6.96953094900000*10^-01} 
{-3.98256380551000*10^-01,  -3.34687466077000*10^-01,  -8.54035219064000*10^-01} 
{ 3.85934356201000*10^-01,  -1.92722177209000*10^-01,  -9.02171178389000*10^-01} 
{-9.03541649021000*10^-01,   1.47359150260000*10^-01,  -4.02365218824000*10^-01} 
{ 6.47171340561000*10^-01,  -7.62252578780000*10^-01,  -1.18432301180000*10^-02} 
{ 3.25721774791000*10^-01,  -9.21097227932000*10^-01,   2.13272647387000*10^-01} 
{-3.37334161533000*10^-01,  -2.80401800206000*10^-01,   8.98654824671000*10^-01} 
{-3.78854990827000*10^-01,   4.46640240880000*10^-02,  -9.24377639754000*10^-01} 
{-7.12613458674000*10^-01,  -9.83824140310000*10^-02,  -6.94624329495000*10^-01} 
{ 1.39444036761000*10^-01,   9.89330678209000*10^-01,   4.21920580870000*10^-02} 
{ 5.11447783809000*10^-01,  -7.30995608927000*10^-01,  -4.51737295522000*10^-01} 
{ 3.35253693677000*10^-01,   8.46443805066000*10^-01,   4.13688102006000*10^-01} 
{-6.43338633380000*10^-02,  -9.80278334354000*10^-01,   1.86857007426000*10^-01} 
{ 3.29807496990000*10^-01,   2.43056184084000*10^-01,   9.12222947699000*10^-01} 
{ 3.00236486453000*10^-01,  -9.37161711960000*10^-01,  -1.77724443561000*10^-01} 
{-7.84818148069000*10^-01,   4.93258872192000*10^-01,   3.75174838529000*10^-01} 
{ 9.89851289821000*10^-01,   1.39412422783000*10^-01,   2.75427016340000*10^-02} 
{-3.10537234454000*10^-01,   9.47289313511000*10^-01,   7.88009043460000*10^-02} 
{ 5.27020742594000*10^-01,   8.49689307764000*10^-01,   1.66498392400000*10^-02} 
{-1.01941446226000*10^-01,  -9.72945374114000*10^-01,  -2.07328822241000*10^-01} 
{-1.49644362010000*10^-01,   7.09356860040000*10^-01,   6.88781104584000*10^-01} 
{-1.72243626598000*10^-01,  -6.46508754512000*10^-01,  -7.43208290747000*10^-01} 
{ 1.13442322474000*10^-01,   4.69035802856000*10^-01,  -8.75863148620000*10^-01} 
{ 8.96759937216000*10^-01,   2.82576088235000*10^-01,  -3.40547161730000*10^-01} 
{-3.80281666624000*10^-01,  -8.14213777639000*10^-01,  -4.38681864603000*10^-01} 
{-5.74232342443000*10^-01,  -5.41776590237000*10^-01,   6.13787702030000*10^-01} 
{-1.07603481895000*10^-01,   9.50184543272000*10^-01,  -2.92524912461000*10^-01} 
{ 6.65664267702000*10^-01,   6.70892707047000*10^-01,  -3.26793602043000*10^-01} 
{ 5.86539309584000*10^-01,   4.53826336478000*10^-01,   6.70830302410000*10^-01} 
