{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 9.06653824031000*10^-01,   0.00000000000000*10^+00,  -4.21875388439000*10^-01}  
{ 8.12258192859000*10^-01,   3.22195744625000*10^-01,  -4.86237113226000*10^-01}  
{-8.70658274220000*10^-01,   1.97966268520000*10^-02,   4.91489840279000*10^-01}  
{-7.91062258327000*10^-01,   6.09533777118000*10^-01,   5.18563207700000*10^-02}  
{ 1.13482439910000*10^-01,  -9.50442038825000*10^-01,   2.89450629065000*10^-01}  
{ 9.58379928357000*10^-01,   3.40691153070000*10^-02,   2.83455831313000*10^-01}  
{ 5.00708984547000*10^-01,  -8.65398207716000*10^-01,   1.94024450830000*10^-02}  
{-7.85229090657000*10^-01,   1.76412321346000*10^-01,   5.93543568800000*10^-01}  
{-1.72695603617000*10^-01,   9.84971690302000*10^-01,  -2.64533450000000*10^-03}  
{-8.25074504339000*10^-01,  -1.17275062423000*10^-01,  -5.52719297676000*10^-01}  
{ 8.21372296872000*10^-01,  -3.99050034664000*10^-01,   4.07561798709000*10^-01}  
{-6.47809259994000*10^-01,   6.68049093935000*10^-01,   3.66133269124000*10^-01}  
{-4.07781385322000*10^-01,  -6.10761247087000*10^-01,  -6.78737829240000*10^-01}  
{-9.04690933466000*10^-01,  -4.23492824716000*10^-01,  -4.67775835130000*10^-02}  
{-2.31287275932000*10^-01,  -5.47816319602000*10^-01,  -8.03992211386000*10^-01}  
{-9.82931142062000*10^-01,   1.64851121917000*10^-01,   8.16729916650000*10^-02}  
{-3.18783889572000*10^-01,   1.59331168502000*10^-01,  -9.34339558455000*10^-01}  
{ 3.63771454449000*10^-01,   8.29503578102000*10^-01,  -4.23785491544000*10^-01}  
{ 9.00515033245000*10^-01,   3.99369994449000*10^-01,  -1.71977563752000*10^-01}  
{-3.82844380760000*10^-01,  -2.72896623978000*10^-01,   8.82585753761000*10^-01}  
{-9.48008352197000*10^-01,  -3.16542246780000*10^-01,   3.28811521760000*10^-02}  
{ 7.66554726687000*10^-01,  -1.08086700662000*10^-01,  -6.33017469058000*10^-01}  
{ 4.48187703582000*10^-01,   4.95239128668000*10^-01,   7.44221732949000*10^-01}  
{ 1.02015858748000*10^-01,   8.97656275749000*10^-01,  -4.28725990782000*10^-01}  
{-9.12762851477000*10^-01,   4.02347561650000*10^-01,   7.05720667020000*10^-02}  
{-3.39147021180000*10^-02,  -2.60821278726000*10^-01,   9.64791196863000*10^-01}  
{-9.23498980725000*10^-01,   2.75927822908000*10^-01,   2.66483525091000*10^-01}  
{-4.63198177447000*10^-01,   8.12778425066000*10^-01,   3.53325176229000*10^-01}  
{-3.59208041488000*10^-01,  -2.39062914736000*10^-01,  -9.02118897778000*10^-01}  
{ 1.47056089331000*10^-01,  -7.68912167012000*10^-01,  -6.22212653368000*10^-01}  
{ 7.34867819042000*10^-01,  -6.77524753820000*10^-01,  -3.04876449840000*10^-02}  
{-6.09683809210000*10^-01,   7.56791406981000*10^-01,  -2.35695606890000*10^-01}  
{-8.92189676828000*10^-01,   2.45119793397000*10^-01,  -3.79359812640000*10^-01}  
{ 9.01187149688000*10^-01,   1.32234119423000*10^-01,  -4.12766106769000*10^-01}  
{ 9.95620982410000*10^-01,  -5.48340238240000*10^-02,  -7.57105621140000*10^-02}  
{-9.28732353790000*10^-01,   1.52166947682000*10^-01,   3.38084952427000*10^-01}  
{ 9.59750807344000*10^-01,  -9.49988526800000*10^-02,   2.64298327258000*10^-01}  
{-5.27130206982000*10^-01,   8.33451488161000*10^-01,  -1.65808207785000*10^-01}  
{ 9.34644457654000*10^-01,  -2.36993861065000*10^-01,   2.65091772025000*10^-01}  
{ 7.30954055397000*10^-01,  -6.51570031472000*10^-01,   2.02885837322000*10^-01}  
{-3.13404507533000*10^-01,  -8.36800470046000*10^-01,  -4.48934948505000*10^-01}  
{-6.77394137207000*10^-01,  -6.82639455245000*10^-01,  -2.74117779470000*10^-01}  
{-9.72861133260000*10^-01,  -2.02935402386000*10^-01,   1.11168511052000*10^-01}  
{ 7.50516210170000*10^-02,   4.14307155548000*10^-01,  -9.07037394513000*10^-01}  
{ 5.67017276483000*10^-01,  -7.01307376762000*10^-01,   4.32040937260000*10^-01}  
{ 4.66740680032000*10^-01,  -7.11824880844000*10^-01,   5.24841382338000*10^-01}  
{ 4.83938547517000*10^-01,   8.73777760960000*10^-01,   4.81238680860000*10^-02}  
