{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 6.56837312407000*10^-01,   0.00000000000000*10^+00,  -7.54032323598000*10^-01}  
{-1.29264005505000*10^-01,   2.46014307945000*10^-01,  -9.60608024726000*10^-01}  
{-8.33262620511000*10^-01,  -5.26340447550000*10^-01,   1.69231021189000*10^-01}  
{-8.02293405430000*10^-02,   9.24857946134000*10^-01,   3.71753994448000*10^-01}  
{ 4.55868572666000*10^-01,   2.19993249338000*10^-01,  -8.62430759366000*10^-01}  
{-2.46725860620000*10^-02,  -5.13751791986000*10^-01,   8.57584024879000*10^-01}  
{-3.01806676831000*10^-01,   8.49888956579000*10^-01,  -4.31973947485000*10^-01}  
{ 9.28687842205000*10^-01,   1.50314697500000*10^-02,   3.70557615840000*10^-01}  
{-6.45431752620000*10^-01,   3.32099515786000*10^-01,   6.87842834029000*10^-01}  
{-7.03921343854000*10^-01,   5.39419814239000*10^-01,  -4.62083331958000*10^-01}  
{ 1.91540522433000*10^-01,   9.58261079272000*10^-01,   2.12244981608000*10^-01}  
{ 4.78041132985000*10^-01,   8.25995795781000*10^-01,   2.98676447893000*10^-01}  
{-8.72684493172000*10^-01,  -7.06016225720000*10^-02,  -4.83153377581000*10^-01}  
{ 2.69595998457000*10^-01,   9.07477003772000*10^-01,  -3.22185482667000*10^-01}  
{ 8.50678213638000*10^-01,   5.06233301386000*10^-01,   1.41684231338000*10^-01}  
{ 6.52141669396000*10^-01,   5.77119104941000*10^-01,  -4.91573780576000*10^-01}  
{ 5.58120037030000*10^-02,  -1.93795843297000*10^-01,  -9.79453006205000*10^-01}  
{-2.03271729852000*10^-01,  -2.59449917895000*10^-01,   9.44121996326000*10^-01}  
{-9.57375219689000*10^-01,  -2.60818679771000*10^-01,   1.24122137459000*10^-01}  
{-4.25782477267000*10^-01,  -7.09376223552000*10^-01,   5.61689109304000*10^-01}  
{ 2.17279515962000*10^-01,   8.48719148078000*10^-01,   4.82146678542000*10^-01}  
{ 3.29503938714000*10^-01,  -4.72092199370000*10^-02,   9.42973193641000*10^-01}  
{ 8.07046464793000*10^-01,  -1.93944285377000*10^-01,   5.57728982424000*10^-01}  
{-4.24971312366000*10^-01,  -7.00888001429000*10^-01,  -5.72848490545000*10^-01}  
{-1.61072097625000*10^-01,  -9.66511253467000*10^-01,  -1.99779318969000*10^-01}  
{-1.46667776290000*10^-01,  -7.15644608835000*10^-01,   6.82891907437000*10^-01}  
{-1.25477972959000*10^-01,   9.89466501145000*10^-01,   7.21894827030000*10^-02}  
{ 3.57432841638000*10^-01,  -7.90756715126000*10^-01,  -4.96936194296000*10^-01}  
{ 5.52418652531000*10^-01,   7.91220229820000*10^-01,  -2.62305509396000*10^-01}  
{-2.02705448704000*10^-01,  -4.15020766660000*10^-02,  -9.78359892217000*10^-01}  
{ 4.83317929998000*10^-01,  -6.46462737463000*10^-01,   5.90330168308000*10^-01}  
{-3.30614954015000*10^-01,   7.94077243670000*10^-01,   5.10034394200000*10^-01}  
{ 6.03451036520000*10^-01,  -5.47663435114000*10^-01,  -5.79578819802000*10^-01}  
{ 6.70934720919000*10^-01,   7.38616832298000*10^-01,   6.55116425590000*10^-02}  
{-1.78640868766000*10^-01,  -9.76540384111000*10^-01,   1.20234430207000*10^-01}  
{-6.62369770412000*10^-01,  -5.45768293305000*10^-01,  -5.13228270136000*10^-01}  
{ 6.99505037347000*10^-01,   6.07155289683000*10^-01,   3.76902052178000*10^-01}  
{ 3.88191929125000*10^-01,   4.42345099389000*10^-01,   8.08478719082000*10^-01}  
{-6.76253306166000*10^-01,  -6.93128718570000*10^-01,  -2.49507605881000*10^-01}  
{-1.24705504956000*10^-01,   2.70241718767000*10^-01,   9.54682120117000*10^-01}  
{ 4.31169243100000*10^-02,   4.92020210804000*10^-01,   8.69515406993000*10^-01}  
{-6.10982390984000*10^-01,   3.58572096369000*10^-01,  -7.05780822644000*10^-01}  
{ 1.73675681335000*10^-01,   6.64931287675000*10^-01,  -7.26431786462000*10^-01}  
{ 9.35951819738000*10^-01,  -3.48520543687000*10^-01,  -5.02754588040000*10^-02}  
{ 7.66590114898000*10^-01,   1.11377811266000*10^-01,   6.32403809997000*10^-01}  
{ 6.54058165888000*10^-01,   4.06686709839000*10^-01,   6.37819594929000*10^-01}  
{ 3.71049148399000*10^-01,  -9.07796208688000*10^-01,  -1.95521285194000*10^-01}  
{-5.93926362018000*10^-01,   5.34678039210000*10^-02,   8.02740724296000*10^-01}  
{-2.14954558613000*10^-01,  -3.50783229551000*10^-01,  -9.11452502107000*10^-01}  
{ 7.83489647513000*10^-01,  -2.29790928799000*10^-01,  -5.77356130375000*10^-01}  
{ 5.98495975663000*10^-01,  -1.10842992898000*10^-01,   7.93420694235000*10^-01}  
{-3.47156950156000*10^-01,   4.56463272102000*10^-01,  -8.19221174763000*10^-01}  
{ 4.53908218189000*10^-01,   5.06516795058000*10^-01,  -7.33081213636000*10^-01}  
{-6.04039481225000*10^-01,   7.95914287208000*10^-01,   4.07032251770000*10^-02}  
{-8.86784205690000*10^-02,   9.60828024876000*10^-01,  -2.62575026112000*10^-01}  
{-6.67360145980000*10^-01,  -7.42818781110000*10^-01,   5.33918906560000*10^-02}  
{ 7.86975257150000*10^-01,  -6.03019808932000*10^-01,  -1.30526068923000*10^-01}  
{ 6.03753253388000*10^-01,  -7.39098853998000*10^-01,   2.98688622217000*10^-01}  
{ 5.24327991060000*10^-01,   1.79574363248000*10^-01,   8.32366028773000*10^-01}  
{-6.18368930340000*10^-02,   7.62530499839000*10^-01,   6.43990244861000*10^-01}  
{ 1.35649444704000*10^-01,   9.90717837300000*10^-02,  -9.85791057892000*10^-01}  
{-4.29587541944000*10^-01,  -8.45146438093000*10^-01,  -3.18091247891000*10^-01}  
{-4.66719948298000*10^-01,   6.46358030787000*10^-01,  -6.03650383830000*10^-01}  
{-1.94866167044000*10^-01,  -6.33279645139000*10^-01,  -7.48988696840000*10^-01}  
{ 8.13390878014000*10^-01,  -5.58878676241000*10^-01,   1.61399829019000*10^-01}  
{-4.49565514367000*10^-01,  -8.50290776500000*10^-01,   2.73672146356000*10^-01}  
{ 2.37719513007000*10^-01,  -6.10814310843000*10^-01,   7.55245199127000*10^-01}  
{-6.78762787227000*10^-01,   4.03224174040000*10^-02,  -7.33249740083000*10^-01}  
{-3.45894168667000*10^-01,  -4.99910059751000*10^-01,   7.94007025310000*10^-01}  
{-3.75064670531000*10^-01,   9.00482328268000*10^-01,   2.20131936338000*10^-01}  
{ 8.56969621822000*10^-01,   6.35508401980000*10^-02,  -5.11433630087000*10^-01}  
{ 5.65454851517000*10^-01,  -3.06662969787000*10^-01,  -7.65649158464000*10^-01}  
{ 3.71618552515000*10^-01,  -3.59558984055000*10^-01,   8.55930481063000*10^-01}  
{ 2.99119222145000*10^-01,  -3.43240123840000*10^-01,  -8.90344825519000*10^-01}  
{-9.20213632508000*10^-01,   2.52726453978000*10^-01,   2.98891635891000*10^-01}  
{-6.98369324949000*10^-01,  -2.62451373367000*10^-01,  -6.65882544138000*10^-01}  
{ 8.44524268910000*10^-01,   3.50625771828000*10^-01,  -4.04771944868000*10^-01}  
{ 2.08094077059000*10^-01,   3.81969023022000*10^-01,  -9.00442402680000*10^-01}  
{ 1.11843196915000*10^-01,  -2.72822968986000*10^-01,   9.55541064998000*10^-01}  
{ 3.57831888297000*10^-01,  -9.25912984740000*10^-01,   1.21002001665000*10^-01}  
{-1.82917478679000*10^-01,  -8.86710204639000*10^-01,   4.24601235257000*10^-01}  
{-9.66875966403000*10^-01,  -1.90761613365000*10^-01,  -1.69590307681000*10^-01}  
{ 9.96315613497000*10^-01,  -7.27804606110000*10^-02,   4.53674206300000*10^-02}  
{-4.32225776753000*10^-01,  -9.01226162541000*10^-01,  -3.11814345770000*10^-02}  
{-8.81438874926000*10^-01,   3.80617151417000*10^-01,  -2.79635644753000*10^-01}  
{-3.67073120063000*10^-01,   9.23251733066000*10^-01,  -1.13417643765000*10^-01}  
{ 6.05894808662000*10^-01,  -3.95539296308000*10^-01,   6.90246438537000*10^-01}  
{ 9.20679828403000*10^-01,  -2.81406162818000*10^-01,   2.70479620489000*10^-01}  
