{-9.89849746279000*10^-01,  -5.53500595580000*10^-02,   1.30896335693000*10^-01}  
{-7.44051494496000*10^-01,  -6.53934957833000*10^-01,   1.36954169206000*10^-01}  
{-2.64871305777000*10^-01,   5.52991504164000*10^-01,  -7.89964295205000*10^-01}  
{-4.64521589952000*10^-01,   8.41591786010000*10^-01,  -2.75577499423000*10^-01}  
{ 8.16151164550000*10^-01,  -2.89522817150000*10^-01,   5.00073809506000*10^-01}  
{-5.90897602449000*10^-01,  -3.50008180690000*10^-02,   8.05986951603000*10^-01}  
{-2.76226173112000*10^-01,  -3.40746137400000*10^-01,  -8.98660765325000*10^-01}  
{ 5.91424997719000*10^-01,   8.05995938229000*10^-01,   2.42284880010000*10^-02}  
{ 6.56623915791000*10^-01,  -6.49490715912000*10^-01,  -3.83414714318000*10^-01}  
{ 8.35863625544000*10^-01,   4.41190134141000*10^-01,  -3.26624042330000*10^-01}  
{-2.02379142179000*10^-01,  -6.14039003475000*10^-01,  -7.62888448610000*10^-01}  
{-8.37757303141000*10^-01,   5.39468805688000*10^-01,   8.44754918540000*10^-02}  
{ 7.20198827795000*10^-01,  -6.54709226790000*10^-01,   2.29498315460000*10^-01}  
{ 8.97715936146000*10^-01,   4.39182186548000*10^-01,   3.50015000950000*10^-02}  
{-1.49531044809000*10^-01,   4.51113501138000*10^-01,   8.79850598528000*10^-01}  
{-3.99432443983000*10^-01,   2.86577190591000*10^-01,  -8.70819864569000*10^-01}  
{ 4.68398199878000*10^-01,   2.05832750640000*10^-02,  -8.83277677256000*10^-01}  
{-4.40634378762000*10^-01,  -3.32021104528000*10^-01,  -8.34028375058000*10^-01}  
{ 8.86603857612000*10^-01,   4.09281089417000*10^-01,   2.15459020494000*10^-01}  
{ 5.73009011070000*10^-02,  -5.12068752924000*10^-01,   8.57031037368000*10^-01}  
{ 9.71841848523000*10^-01,  -1.97808179250000*10^-02,  -2.34802343900000*10^-01}  
{ 6.08189673832000*10^-01,   7.69761615316000*10^-01,   1.93835951851000*10^-01}  
{ 3.71757486261000*10^-01,   3.01274453182000*10^-01,  -8.78083182431000*10^-01}  
{-3.88868084151000*10^-01,  -4.87236177520000*10^-01,   7.81909534693000*10^-01}  
{ 1.75022564424000*10^-01,   9.36245412680000*10^-02,  -9.80102824817000*10^-01}  
{ 8.09574829906000*10^-01,  -5.12833235567000*10^-01,   2.85640801148000*10^-01}  
{ 7.51951990769000*10^-01,   4.25459727515000*10^-01,   5.03539694405000*10^-01}  
{ 9.64933120989000*10^-01,  -8.40397343890000*10^-02,   2.48679301636000*10^-01}  
{ 7.15614477491000*10^-01,   6.45240846700000*10^-01,   2.67507325797000*10^-01}  
{ 5.59623437157000*10^-01,  -5.36905270900000*10^-01,  -6.31311601877000*10^-01}  
{-7.19248368835000*10^-01,   5.65336997610000*10^-02,   6.92449077347000*10^-01}  
{-2.01720293472000*10^-01,  -9.78723985418000*10^-01,  -3.75271044610000*10^-02}  
{ 8.55583555897000*10^-01,   1.11516311491000*10^-01,  -5.05510525262000*10^-01}  
{-7.71609056392000*10^-01,   4.91411796704000*10^-01,  -4.03898390878000*10^-01}  
{ 2.63716914596000*10^-01,   9.55436340411000*10^-01,  -1.32645348120000*10^-01}  
{ 9.41348407259000*10^-01,  -1.85367793537000*10^-01,  -2.81960914436000*10^-01}  
{ 5.13429852270000*10^-02,  -8.95005656486000*10^-01,  -4.43090027789000*10^-01}  
{-4.34478582197000*10^-01,   8.77097054289000*10^-01,   2.04766010289000*10^-01}  
{-9.64410180830000*10^-02,   3.15699916670000*10^-01,  -9.43945280536000*10^-01}  
{-9.63280788015000*10^-01,   7.11031266450000*10^-02,   2.58910155890000*10^-01}  
{-5.41225713351000*10^-01,  -8.37505052394000*10^-01,   7.52330673480000*10^-02}  
{ 8.71672066196000*10^-01,  -3.56421853929000*10^-01,   3.36379653154000*10^-01}  
{ 3.94111022844000*10^-01,   8.91774407824000*10^-01,  -2.22294640562000*10^-01}  
{-4.64152034492000*10^-01,   5.35152093830000*10^-02,   8.84137439113000*10^-01}  
{-2.58764825802000*10^-01,   4.03003536092000*10^-01,  -8.77854723075000*10^-01}  
{ 1.78660046333000*10^-01,   8.99613992396000*10^-01,   3.98466124696000*10^-01}  
{ 8.79176312622000*10^-01,  -3.45458418760000*10^-01,  -3.28188196364000*10^-01}  
{-4.01880455292000*10^-01,  -9.15151999603000*10^-01,  -3.14470551460000*10^-02}  
{-5.01833592484000*10^-01,  -5.59015012382000*10^-01,   6.60049438592000*10^-01}  
{-5.43627347668000*10^-01,   3.20383192910000*10^-01,  -7.75773108949000*10^-01}  
{-9.36770549449000*10^-01,   1.95149581842000*10^-01,  -2.90478189183000*10^-01}  
{ 6.11389987510000*10^-01,   5.22205833750000*10^-02,   7.89604517366000*10^-01}  
{-5.47151179328000*10^-01,  -7.02343358927000*10^-01,  -4.55345355890000*10^-01}  
{ 1.87318311063000*10^-01,  -7.58676493445000*10^-01,   6.23956591948000*10^-01}  
{ 8.88015273720000*10^-01,   1.69004775351000*10^-01,   4.27628646782000*10^-01}  
{-1.00426761066000*10^-01,   4.78455622714000*10^-01,  -8.72350091852000*10^-01}  
{ 6.82038557137000*10^-01,   3.31426994392000*10^-01,   6.51904558940000*10^-01}  
{ 4.45850073828000*10^-01,   2.94363743341000*10^-01,   8.45321062244000*10^-01}  
{-5.51125508176000*10^-01,   4.80146807884000*10^-01,  -6.82436603002000*10^-01}  
{-5.71387792373000*10^-01,  -2.22589508234000*10^-01,   7.89917654918000*10^-01}  
{ 6.87583554238000*10^-01,  -6.09459936595000*10^-01,   3.94699178650000*10^-01}  
{ 4.23381373610000*10^-01,  -5.06143988026000*10^-01,  -7.51376387615000*10^-01}  
{ 3.44193378731000*10^-01,   1.39488532334000*10^-01,  -9.28479330618000*10^-01}  
{ 2.48432776014000*10^-01,  -7.45316136332000*10^-01,  -6.18696220067000*10^-01}  
{ 7.67215724110000*10^-01,   4.13765448902000*10^-01,  -4.90079775113000*10^-01}  
{-2.27312459020000*10^-01,  -5.60695554597000*10^-01,   7.96209483132000*10^-01}  
{-3.07490322277000*10^-01,   4.68184007130000*10^-01,   8.28404150867000*10^-01}  
{ 7.71222352700000*10^-03,   3.57485805110000*10^-02,  -9.99331056557000*10^-01}  
{ 3.67313198457000*10^-01,  -7.38052806459000*10^-01,   5.66002711228000*10^-01}  
{-7.41524148753000*10^-01,   6.11149251336000*10^-01,  -2.76836647514000*10^-01}  
{-9.48707010527000*10^-01,  -1.02181174488000*10^-01,   2.99188929870000*10^-01}  
{ 3.18843099052000*10^-01,   9.47228105643000*10^-01,   3.31359935310000*10^-02}  
{-8.95042979423000*10^-01,  -3.96560080938000*10^-01,   2.04054324119000*10^-01}  
{ 8.13995919307000*10^-01,   5.79982101542000*10^-01,  -3.21154984790000*10^-02}  
{-3.54371702192000*10^-01,   8.37106397904000*10^-01,  -4.16741616921000*10^-01}  
{ 7.02319446903000*10^-01,   7.05926036024000*10^-01,  -9.17378120860000*10^-02}  
{-6.87709896974000*10^-01,   7.12731602485000*10^-01,  -1.38089682538000*10^-01}  
{-1.25155166400000*10^-02,   9.37072001615000*10^-01,  -3.48911773422000*10^-01}  
{ 5.29399973293000*10^-01,   3.45094199079000*10^-01,  -7.75013330233000*10^-01}  
{-5.69023693647000*10^-01,  -7.69831565754000*10^-01,  -2.89087177920000*10^-01}  
{ 6.24728078465000*10^-01,   4.96009023463000*10^-01,   6.03067058146000*10^-01}  
{-6.50396307290000*10^-02,  -7.22699083332000*10^-01,  -6.88095837355000*10^-01}  
{-9.76003142947000*10^-01,   4.17994810320000*10^-02,  -2.13706968401000*10^-01}  
{-6.00660699219000*10^-01,   7.68703744299000*10^-01,   2.19775517093000*10^-01}  
{ 7.67053922432000*10^-01,  -4.56690589778000*10^-01,   4.50623995466000*10^-01}  
{ 3.45129628800000*10^-02,   4.80361349284000*10^-01,   8.76391367773000*10^-01}  
{ 9.84224963780000*10^-02,   8.29788240282000*10^-01,   5.49330946239000*10^-01}  
{ 5.78676591376000*10^-01,  -9.69875928070000*10^-02,  -8.09769602687000*10^-01}  
{ 5.68674435412000*10^-01,   8.08455020187000*10^-01,  -1.51690035411000*10^-01}  
{ 7.19745753228000*10^-01,   1.51569824096000*10^-01,   6.77489955006000*10^-01}  
{ 1.33449454670000*10^-01,   2.99429053804000*10^-01,   9.44739903247000*10^-01}  
{-1.71251961163000*10^-01,  -7.05571498947000*10^-01,   6.87634805454000*10^-01}  
{ 9.59522740754000*10^-01,  -2.79964363238000*10^-01,   3.05951841480000*10^-02}  
{-6.51404107966000*10^-01,   5.51708303234000*10^-01,   5.20855677004000*10^-01}  
{-2.42010655263000*10^-01,   2.37943844660000*10^-01,  -9.40645294214000*10^-01}  
{ 5.91836530273000*10^-01,   2.27641690900000*10^-01,   7.73245615570000*10^-01}  
{ 3.03801585942000*10^-01,  -8.99797859250000*10^-01,   3.13158759847000*10^-01}  
{-3.87343894854000*10^-01,   7.29202779719000*10^-01,  -5.64117020812000*10^-01}  
{ 6.24539601290000*10^-01,   6.61529513320000*10^-02,  -7.78186400196000*10^-01}  
{-1.06130372489000*10^-01,   6.23780862188000*10^-01,  -7.74360239167000*10^-01}  
{-3.41508751069000*10^-01,  -6.40732432841000*10^-01,   6.87629058758000*10^-01}  
{-5.45775292173000*10^-01,  -7.36385597459000*10^-01,   3.99831942580000*10^-01}  
{-6.58006516520000*10^-02,  -1.10618010582000*10^-01,  -9.91682373534000*10^-01}  
{ 6.60636752796000*10^-01,   7.01118013693000*10^-01,  -2.68314389721000*10^-01}  
{ 1.37710055864000*10^-01,  -9.80279110461000*10^-01,  -1.41734985474000*10^-01}  
{ 3.46030348848000*10^-01,  -9.28574239687000*10^-01,   1.34212067515000*10^-01}  
{-9.99129798909000*10^-01,  -6.83794966000000*10^-03,  -4.11447126270000*10^-02}  
{-4.14309964065000*10^-01,   4.49247690337000*10^-01,  -7.91532542858000*10^-01}  
{ 5.64294314039000*10^-01,  -4.65819481255000*10^-01,   6.81604091849000*10^-01}  
{ 3.22627162007000*10^-01,   1.33046404820000*10^-02,   9.46432618244000*10^-01}  
{-3.16533058274000*10^-01,   3.17359835329000*10^-01,   8.93918093530000*10^-01}  
{ 4.78311060384000*10^-01,   8.29710482282000*10^-01,   2.87748232149000*10^-01}  
{ 6.50239182120000*10^-01,   5.33092270089000*10^-01,  -5.41296256783000*10^-01}  
{ 8.17126988313000*10^-01,   5.56308267088000*10^-01,   1.51078115355000*10^-01}  
{ 9.89713873368000*10^-01,   6.82740401640000*10^-02,   1.25718353085000*10^-01}  
{ 1.95756885220000*10^-01,   7.22842466700000*10^-01,   6.62705070317000*10^-01}  
{ 2.53030897115000*10^-01,  -2.13539878882000*10^-01,  -9.43597416927000*10^-01}  
{-6.21617650049000*10^-01,  -4.51859864163000*10^-01,  -6.39854796267000*10^-01}  
{-1.32295004709000*10^-01,   9.65218400164000*10^-01,  -2.25502708882000*10^-01}  
{ 4.71014940777000*10^-01,   5.58545629897000*10^-01,   6.82767680026000*10^-01}  
{-2.92840180480000*10^-02,  -9.95660348181000*10^-01,  -8.83341233400000*10^-02}  
{-3.47479067313000*10^-01,   1.10623613511000*10^-01,  -9.31139470710000*10^-01}  
{-8.52244166484000*10^-01,   4.65488768725000*10^-01,  -2.38746909685000*10^-01}  
{ 3.38448255719000*10^-01,   8.63504224780000*10^-01,   3.73916076130000*10^-01}  
{ 7.72000899890000*10^-01,   2.55608200314000*10^-01,  -5.81961389185000*10^-01}  
{ 9.54548582625000*10^-01,   2.79923009536000*10^-01,   1.02372418851000*10^-01}  
{ 9.80957864753000*10^-01,  -1.62743563736000*10^-01,  -1.06000943586000*10^-01}  
{-3.04531909499000*10^-01,   9.17620423421000*10^-01,  -2.55407663586000*10^-01}  
{-9.77274545696000*10^-01,  -1.40856559192000*10^-01,  -1.58410517539000*10^-01}  
{ 7.85300823872000*10^-01,  -4.97607584482000*10^-01,  -3.68360296302000*10^-01}  
{-6.70766185515000*10^-01,   3.42537892566000*10^-01,  -6.57830157811000*10^-01}  
{-8.15341055514000*10^-01,   5.16467645577000*10^-01,   2.61687092279000*10^-01}  
{-7.46631926796000*10^-01,   6.65040483785000*10^-01,   1.61839678700000*10^-02}  
{ 1.72531699271000*10^-01,  -3.88904106037000*10^-01,   9.04978678784000*10^-01}  
{-6.84621124573000*10^-01,  -6.45105967067000*10^-01,  -3.39311371816000*10^-01}  
{ 8.99565399598000*10^-01,  -4.36435939801000*10^-01,  -1.74860600400000*10^-02}  
{ 2.99090472865000*10^-01,  -6.47620301842000*10^-01,   7.00808699777000*10^-01}  
{ 5.91168646846000*10^-01,   7.15361322779000*10^-01,   3.72528936940000*10^-01}  
{ 2.10657921943000*10^-01,   7.05445239231000*10^-01,  -6.76734995673000*10^-01}  
{-1.38810074140000*10^-01,   1.10410469116000*10^-01,  -9.84144954581000*10^-01}  
{-3.36204632895000*10^-01,   9.39685811679000*10^-01,   6.29048499690000*10^-02}  
{-2.34342935734000*10^-01,  -7.34979179954000*10^-01,  -6.36308882153000*10^-01}  
{ 5.73707613340000*10^-02,   9.78695721115000*10^-01,  -1.97137721444000*10^-01}  
{-8.82254704150000*10^-02,   7.55337366984000*10^-01,  -6.49370255253000*10^-01}  
{-3.86272496032000*10^-01,  -8.15502932953000*10^-01,   4.30985527777000*10^-01}  
{-7.96866756952000*10^-01,  -5.46618917048000*10^-01,   2.57315236996000*10^-01}  
{ 5.11626321687000*10^-01,   8.00459423922000*10^-01,  -3.12255052178000*10^-01}  
{ 9.54602726031000*10^-01,   8.24874353700000*10^-02,   2.86233223894000*10^-01}  
{-5.28067264313000*10^-01,  -1.70452561551000*10^-01,  -8.31920001335000*10^-01}  
{-4.53479190371000*10^-01,  -1.29309673112000*10^-01,   8.81836511118000*10^-01}  
{-3.21446894011000*10^-01,   1.44481281423000*10^-01,   9.35840292811000*10^-01}  
{ 5.44820553542000*10^-01,   6.40950086252000*10^-01,   5.40697282563000*10^-01}  
{ 5.84891025353000*10^-01,  -7.41632713445000*10^-01,   3.28456095711000*10^-01}  
{-4.81327283046000*10^-01,  -4.74469773895000*10^-01,  -7.37022713527000*10^-01}  
{ 9.04608596306000*10^-01,  -1.89638427031000*10^-01,   3.81733617177000*10^-01}  
{-1.73541700375000*10^-01,   2.55057653374000*10^-01,   9.51224932225000*10^-01}  
{ 4.96335481012000*10^-01,  -8.64651071318000*10^-01,   7.76505966330000*10^-02}  
{-3.66841159624000*10^-01,  -6.17872939334000*10^-01,  -6.95457111865000*10^-01}  
