{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 8.56189577838000*10^-01,   0.00000000000000*10^+00,   5.16661791506000*10^-01} 
{ 6.00322140283000*10^-01,  -5.22573481615000*10^-01,  -6.05417446230000*10^-01} 
{-2.40951019808000*10^-01,  -5.47296024380000*10^-01,   8.01504627405000*10^-01} 
{-9.28449062229000*10^-01,   2.24060947337000*10^-01,  -2.96275261748000*10^-01} 
{ 2.68508720623000*10^-01,   9.56113680677000*10^-01,   1.17259100163000*10^-01} 
{-4.82714534262000*10^-01,  -3.60444741683000*10^-01,  -7.98164310531000*10^-01} 
{ 9.27921842533000*10^-01,  -2.03260134058000*10^-01,  -3.12484194885000*10^-01} 
{-5.55871371890000*10^-02,   5.59070562442000*10^-01,   8.27254601916000*10^-01} 
{ 6.11193421305000*10^-01,  -1.52298948652000*10^-01,  -7.76690177609000*10^-01} 
{-6.87570861259000*10^-01,   4.00926360849000*10^-01,   6.05396038906000*10^-01} 
{ 7.70512942907000*10^-01,  -1.02747592643000*10^-01,  -6.29088814889000*10^-01} 
{-1.44908563051000*10^-01,   9.63813462588000*10^-01,   2.23752357950000*10^-01} 
{-7.13170094356000*10^-01,  -4.85224421681000*10^-01,   5.05910740270000*10^-01} 
{-8.78903232921000*10^-01,   4.76636709614000*10^-01,   1.86159665220000*10^-02} 
{-7.78503983956000*10^-01,  -2.74630302892000*10^-01,   5.64366674865000*10^-01} 
{ 3.78261148554000*10^-01,   5.91962038119000*10^-01,  -7.11687746783000*10^-01} 
{-3.20633054106000*10^-01,  -6.65203479894000*10^-01,  -6.74313558333000*10^-01} 
{-7.33872866289000*10^-01,   1.11673771263000*10^-01,  -6.70044464895000*10^-01} 
{-2.94303823202000*10^-01,  -3.51951944871000*10^-01,   8.88546615632000*10^-01} 
{ 6.33456966696000*10^-01,  -6.51429637814000*10^-01,  -4.17578373869000*10^-01} 
{-6.53756647162000*10^-01,   5.62869244860000*10^-02,   7.54608526604000*10^-01} 
{-6.33124928913000*10^-01,   7.57765740923000*10^-01,  -1.57936399453000*10^-01} 
{ 7.80122793349000*10^-01,   1.83199601434000*10^-01,   5.98202585528000*10^-01} 
{ 4.77247558530000*10^-01,  -6.87613167365000*10^-01,   5.47195486040000*10^-01} 
{-2.92534281478000*10^-01,   7.87384798474000*10^-01,   5.42631434117000*10^-01} 
{-4.07973041960000*10^-01,   3.47274460066000*10^-01,   8.44368667360000*10^-01} 
{-7.76380461149000*10^-01,   6.25295216508000*10^-01,  -7.89890610030000*10^-02} 
{-4.89012665524000*10^-01,  -2.93529482640000*10^-01,   8.21405536735000*10^-01} 
{ 3.43249482710000*10^-01,  -4.60974491600000*10^-03,  -9.39232954528000*10^-01} 
{-2.42888432300000*10^-01,  -9.67074880191000*10^-01,  -7.59696357660000*10^-02} 
{ 3.19187436541000*10^-01,   8.82812551833000*10^-01,  -3.44617728332000*10^-01} 
{ 1.99321424139000*10^-01,   5.21885237438000*10^-01,  -8.29401452147000*10^-01} 
{ 4.81951133441000*10^-01,   6.42771056293000*10^-01,   5.95456525842000*10^-01} 
{-7.24519931217000*10^-01,  -6.87192502479000*10^-01,  -5.32666293750000*10^-02} 
{-5.93004321717000*10^-01,   5.99373267712000*10^-01,   5.37677933691000*10^-01} 
{-7.30372201892000*10^-01,   3.24109886633000*10^-01,  -6.01256374677000*10^-01} 
{-1.27826425357000*10^-01,  -7.61836012750000*10^-01,  -6.35032514647000*10^-01} 
{ 7.68660746847000*10^-01,   6.36460840571000*10^-01,   6.38612141740000*10^-02} 
{-4.85089111529000*10^-01,   7.56519118286000*10^-01,   4.38597056013000*10^-01} 
{-6.62579669020000*10^-02,   2.04194126513000*10^-01,   9.76685538195000*10^-01} 
{ 1.75292146981000*10^-01,  -9.82164582836000*10^-01,   6.80102597380000*10^-02} 
{ 3.80886687918000*10^-01,   5.13223003708000*10^-01,   7.69108236486000*10^-01} 
{-3.46214809437000*10^-01,  -1.37506426503000*10^-01,   9.28023323197000*10^-01} 
{-5.00006684927000*10^-01,  -8.28085267812000*10^-01,   2.53511546601000*10^-01} 
{ 4.90606380124000*10^-01,   7.69099858999000*10^-01,  -4.09622737002000*10^-01} 
{ 7.10611933498000*10^-01,   2.83340944846000*10^-01,  -6.44009773950000*10^-01} 
{-3.88738972395000*10^-01,  -3.16477847880000*10^-02,  -9.20804229497000*10^-01} 
{-3.42581652550000*10^-01,   7.22716427601000*10^-01,  -6.00265588396000*10^-01} 
