{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 8.50911767600000*10^-01,   0.00000000000000*10^+00,  -5.25308636669000*10^-01} 
{-3.25996946243000*10^-01,  -3.23972032040000*10^-01,   8.88126181067000*10^-01} 
{ 6.79111435190000*10^-01,   7.23933212930000*10^-01,  -1.21360462307000*10^-01} 
{ 3.14275608110000*10^-02,   9.59384245056000*10^-01,   2.80346533346000*10^-01} 
{-2.64195165505000*10^-01,  -9.11825254175000*10^-01,  -3.14285889553000*10^-01} 
{-3.53440227222000*10^-01,  -4.49671314626000*10^-01,   8.20290018581000*10^-01} 
{-8.77282035855000*10^-01,   4.23929395297000*10^-01,   2.25077980642000*10^-01} 
{-7.49503801095000*10^-01,   5.98261829182000*10^-01,  -2.83419893246000*10^-01} 
{-2.46880810276000*10^-01,  -9.50997049765000*10^-01,  -1.86157129477000*10^-01} 
{-3.31016583277000*10^-01,   9.14421664460000*10^-01,   2.32939994766000*10^-01} 
{-1.95896341447000*10^-01,  -3.64476602413000*10^-01,  -9.10374334931000*10^-01} 
{-6.45259398800000*10^-03,  -9.97272944250000*10^-01,   7.35189682880000*10^-02} 
{-3.20776134424000*10^-01,   8.09023538513000*10^-01,   4.92527751213000*10^-01} 
{ 7.99448273354000*10^-01,   5.23579185866000*10^-01,  -2.94528936369000*10^-01} 
{-4.39808848804000*10^-01,   8.29062501140000*10^-02,  -8.94256523714000*10^-01} 
{-5.01446429430000*10^-02,  -8.02477152193000*10^-01,  -5.94572060386000*10^-01} 
{ 3.61175493603000*10^-01,  -4.75696181743000*10^-01,  -8.02038281815000*10^-01} 
{ 2.81562378093000*10^-01,   8.80074349446000*10^-01,   3.82350319328000*10^-01} 
{-8.71815144561000*10^-01,   3.55075597815000*10^-01,   3.37430990797000*10^-01} 
{ 5.71397582208000*10^-01,   1.09969851492000*10^-01,   8.13272054610000*10^-01} 
{ 6.58892552477000*10^-01,   5.19539455538000*10^-01,   5.44003086783000*10^-01} 
{-7.10198641176000*10^-01,  -6.68779178174000*10^-01,   2.19891566259000*10^-01} 
{-3.00657990293000*10^-01,  -7.85731028802000*10^-01,  -5.40584427495000*10^-01} 
{-7.65244169652000*10^-01,   1.01220686773000*10^-01,   6.35732438517000*10^-01} 
{ 1.87750777116000*10^-01,   4.53049607963000*10^-01,  -8.71490503917000*10^-01} 
{-1.48857315492000*10^-01,  -9.04777089971000*10^-01,  -3.99023704920000*10^-01} 
{ 9.93704573474000*10^-01,   1.11806380484000*10^-01,   7.11012938700000*10^-03} 
{-9.73314165571000*10^-01,   8.35897564900000*10^-03,  -2.29324361168000*10^-01} 
{ 9.33349042779000*10^-01,  -3.58800549175000*10^-01,   1.10331434960000*10^-02} 
{-1.17656711149000*10^-01,  -9.93004161119000*10^-01,   9.98169936800000*10^-03} 
{-7.04338436664000*10^-01,   4.58624428286000*10^-01,   5.41821926852000*10^-01} 
{ 8.01012639000000*10^-02,  -8.28923892261000*10^-01,  -5.53596394823000*10^-01} 
{-9.33716031590000*10^-01,  -3.99183129820000*10^-02,  -3.55782097134000*10^-01} 
{ 9.67173313000000*10^-02,  -8.97372764556000*10^-01,  -4.30543701916000*10^-01} 
{ 8.86195354138000*10^-01,   2.56910847018000*10^-01,   3.85557532656000*10^-01} 
{-9.42848843593000*10^-01,   3.30174982360000*10^-01,  -4.49504077670000*10^-02} 
{ 1.95680899800000*10^-01,  -9.22272593123000*10^-01,   3.33350040390000*10^-01} 
{ 8.36996139153000*10^-01,   4.03462824176000*10^-01,   3.69669058145000*10^-01} 
{ 8.79485176435000*10^-01,  -4.75406177694000*10^-01,  -2.22438899820000*10^-02} 
{-9.31983475908000*10^-01,   2.97661639605000*10^-01,   2.06892119090000*10^-01} 
{ 8.51254581886000*10^-01,  -2.34274885606000*10^-01,  -4.69553953016000*10^-01} 
{ 4.99407120368000*10^-01,   8.63633082985000*10^-01,   6.87780931700000*10^-02} 
{ 2.95406007589000*10^-01,   2.31058076563000*10^-01,  -9.27009954604000*10^-01} 
{ 6.27844710568000*10^-01,  -6.20217704142000*10^-01,  -4.70256333163000*10^-01} 
{-2.24914797327000*10^-01,  -5.46927048786000*10^-01,  -8.06401970018000*10^-01} 
{ 4.32010038838000*10^-01,  -8.35897186978000*10^-01,   3.38590045847000*10^-01} 
{-2.84712285517000*10^-01,  -8.95283135397000*10^-01,   3.42647080755000*10^-01} 
{-9.88149013402000*10^-01,   3.84747100270000*10^-02,   1.48597523537000*10^-01} 
{ 5.64687380170000*10^-02,  -3.08422298201000*10^-01,  -9.49571991794000*10^-01} 
{-5.37181938010000*10^-01,   4.00105742806000*10^-01,  -7.42530107167000*10^-01} 
{ 4.66091404313000*10^-01,   5.87828893710000*10^-02,   8.82781612146000*10^-01} 
{ 7.17559765630000*10^-01,   2.11311008094000*10^-01,  -6.63668321232000*10^-01} 
{-1.15959392348000*10^-01,  -9.83560318426000*10^-01,  -1.38428751871000*10^-01} 
{-8.12809236129000*10^-01,   1.99517457158000*10^-01,   5.47296930334000*10^-01} 
{-7.20745743520000*10^-02,   2.30142687571000*10^-01,   9.70484208573000*10^-01} 
{ 3.45577979473000*10^-01,  -9.24739762305000*10^-01,  -1.59474863586000*10^-01} 
{ 7.56665829207000*10^-01,   5.00087369433000*10^-01,  -4.21152520880000*10^-01} 
{ 9.12149319356000*10^-01,  -2.91788146668000*10^-01,   2.87825114718000*10^-01} 
{ 7.95544621784000*10^-01,  -3.30868565181000*10^-01,   5.07577331375000*10^-01} 
{-4.52291056399000*10^-01,   8.53882757142000*10^-01,  -2.57520945471000*10^-01} 
{ 7.30836042630000*10^-01,  -6.20617749294000*10^-01,   2.84099081403000*10^-01} 
{-3.23804697049000*10^-01,   3.05080904241000*10^-01,  -8.95587047716000*10^-01} 
