{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 2.55822954377000*10^-01,   0.00000000000000*10^+00,  -9.66723650282000*10^-01}  
{ 8.23357207398000*10^-01,  -5.20496427561000*10^-01,  -2.26199862783000*10^-01}  
{ 1.14270987375000*10^-01,   5.94854313789000*10^-01,   7.95669835303000*10^-01}  
{-6.32213807992000*10^-01,  -6.99549220522000*10^-01,  -3.33071447367000*10^-01}  
{ 3.85215822180000*10^-01,  -2.24293482512000*10^-01,   8.95154290636000*10^-01}  
{ 4.00720814306000*10^-01,   6.63376231077000*10^-01,  -6.31945254768000*10^-01}  
{-6.87723529598000*10^-01,   1.61845994543000*10^-01,   7.07702070711000*10^-01}  
{ 7.24264761233000*10^-01,   4.64160304943000*10^-01,   5.09897800496000*10^-01}  
{-9.28021090672000*10^-01,  -2.88026042500000*10^-02,   3.71412527060000*10^-01}  
{ 6.89949297151000*10^-01,   8.03998007620000*10^-02,  -7.19378787148000*10^-01}  
{-6.65627059312000*10^-01,  -6.69680230216000*10^-01,   3.29346333164000*10^-01}  
{ 2.78675209655000*10^-01,   9.55466588570000*10^-01,   9.70758757330000*10^-02}  
{ 5.30605502955000*10^-01,   5.84537256404000*10^-01,   6.13819188449000*10^-01}  
{-9.39296143402000*10^-01,  -2.52181966207000*10^-01,   2.32652124232000*10^-01}  
{-2.62892915467000*10^-01,  -5.63017749510000*10^-02,  -9.63180889104000*10^-01}  
{-4.52874726649000*10^-01,  -7.38260617851000*10^-01,  -4.99875726648000*10^-01}  
{-4.86448292908000*10^-01,   1.11223554490000*10^-02,  -8.73638570312000*10^-01}  
{-2.89865614257000*10^-01,  -3.66403944408000*10^-01,   8.84152744267000*10^-01}  
{ 3.53413339640000*10^-02,   9.98630687848000*10^-01,   3.85712250520000*10^-02}  
{ 1.87110607722000*10^-01,  -7.39054833052000*10^-01,   6.47137987002000*10^-01}  
{-9.44773190977000*10^-01,   2.05875174480000*10^-01,   2.54988294132000*10^-01}  
{ 1.42187601527000*10^-01,   4.29523748517000*10^-01,  -8.91791475308000*10^-01}  
{-1.16531674445000*10^-01,   1.32399663511000*10^-01,  -9.84322456288000*10^-01}  
{ 9.59359930690000*10^-01,   1.54913854048000*10^-01,   2.35860596987000*10^-01}  
{ 8.95434462655000*10^-01,  -3.65368776035000*10^-01,   2.54367412590000*10^-01}  
{ 9.10646535622000*10^-01,   3.83318145896000*10^-01,  -1.54240352007000*10^-01}  
{-2.36968141857000*10^-01,   8.66370963110000*10^-02,   9.67646688253000*10^-01}  
{-9.06302016144000*10^-01,   3.99857067217000*10^-01,  -1.36861175397000*10^-01}  
{ 2.83503604176000*10^-01,  -7.83049400501000*10^-01,  -5.53587701086000*10^-01}  
{ 5.71709369671000*10^-01,  -5.29874313392000*10^-01,  -6.26403710588000*10^-01}  
{ 4.35711822737000*10^-01,   7.61530031619000*10^-01,   4.79819985483000*10^-01}  
{ 9.81623689635000*10^-01,   1.86887523047000*10^-01,  -3.85744173780000*10^-02}  
{ 2.63930139398000*10^-01,  -4.39967459531000*10^-01,  -8.58352792313000*10^-01}  
{ 6.31845963290000*10^-01,   1.27806230180000*10^-01,   7.64484300821000*10^-01}  
{ 7.72557938046000*10^-01,  -4.58488574480000*10^-01,   4.39252159281000*10^-01}  
{-5.02211788900000*10^-02,  -9.66273141534000*10^-01,   2.52574838694000*10^-01}  
{-3.13884089785000*10^-01,   4.40635516660000*10^-01,  -8.41021473946000*10^-01}  
{ 9.21123341079000*10^-01,   3.71446619707000*10^-01,   1.16443974628000*10^-01}  
{-1.66567746964000*10^-01,   9.63131285339000*10^-01,   2.11265976608000*10^-01}  
{-7.46999589103000*10^-01,  -6.57071852288000*10^-01,   1.01233368068000*10^-01}  
{ 5.64318761533000*10^-01,   5.01796895439000*10^-01,  -6.55548786216000*10^-01}  
{ 7.27418741390000*10^-02,   9.58228553477000*10^-01,   2.76598371378000*10^-01}  
{ 8.51369070651000*10^-01,   1.14838338614000*10^-01,  -5.11842614016000*10^-01}  
{ 8.24897022566000*10^-01,   5.65214035190000*10^-01,  -8.83156752100000*10^-03}  
{-6.53879345710000*10^-02,  -7.60822840957000*10^-01,   6.45657047271000*10^-01}  
