{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 3.59110362262000*10^-01,   0.00000000000000*10^+00,   9.33295102160000*10^-01}  
{-5.08959900291000*10^-01,  -8.60764246602000*10^-01,  -6.68817376600000*10^-03}  
{-3.19525291396000*10^-01,  -9.11705999447000*10^-01,   2.58255220143000*10^-01}  
{-4.91004782859000*10^-01,   3.30727882608000*10^-01,  -8.05936331775000*10^-01}  
{-2.60864131215000*10^-01,   5.87769486237000*10^-01,  -7.65817821740000*10^-01}  
{-5.18261187897000*10^-01,  -2.74151917564000*10^-01,  -8.10090159930000*10^-01}  
{-6.42530751151000*10^-01,   3.80122655440000*10^-02,  -7.65316471463000*10^-01}  
{ 7.72709361559000*10^-01,  -6.33824051004000*10^-01,   3.44574364680000*10^-02}  
{-8.20885154715000*10^-01,  -4.72033231576000*10^-01,   3.21453248632000*10^-01}  
{ 1.71158649360000*10^-01,   2.78156783636000*10^-01,   9.45163224246000*10^-01}  
{-3.13500831828000*10^-01,  -5.52795729252000*10^-01,   7.72097215487000*10^-01}  
{ 8.53191717391000*10^-01,   1.87897981453000*10^-01,  -4.86578094390000*10^-01}  
{ 9.56189638141000*10^-01,   2.25229375035000*10^-01,   1.87010974367000*10^-01}  
{ 7.16243146295000*10^-01,   3.22306928405000*10^-01,   6.18962033802000*10^-01}  
{ 6.48829487040000*10^-01,   9.07348624160000*10^-02,  -7.55504785881000*10^-01}  
{-7.45790930357000*10^-01,   6.66121748079000*10^-01,   8.81504020600000*10^-03}  
{ 9.48273341069000*10^-01,  -9.08807782540000*10^-02,  -3.04168300060000*10^-01}  
{-2.67702233540000*10^-02,  -3.06026778110000*10^-02,  -9.99173073723000*10^-01}  
{ 4.88346505710000*10^-01,  -6.93640783439000*10^-01,  -5.29509352053000*10^-01}  
{ 1.72528380618000*10^-01,  -2.93580608794000*10^-01,  -9.40236344767000*10^-01}  
{-8.41960927255000*10^-01,  -4.50462764239000*10^-01,  -2.96959753183000*10^-01}  
{-1.39079613240000*10^-01,  -9.90281186189000*10^-01,   1.82925473000000*10^-04}  
{ 3.53142524742000*10^-01,  -5.17446488044000*10^-01,  -7.79448195347000*10^-01}  
{-3.43518579144000*10^-01,   7.81535802500000*10^-03,   9.39113361614000*10^-01}  
{-3.28207701739000*10^-01,  -5.53312085648000*10^-01,  -7.65588296930000*10^-01}  
{-2.85640221113000*10^-01,   8.24211090926000*10^-01,  -4.88963947215000*10^-01}  
{ 9.99298467183000*10^-01,  -3.70126029230000*10^-02,   5.71320496200000*10^-03}  
{ 3.16558523940000*10^-01,  -5.48984658767000*10^-01,   7.73567414877000*10^-01}  
{-6.34696669218000*10^-01,  -5.11398943840000*10^-01,  -5.79336912618000*10^-01}  
{ 4.68532175621000*10^-01,   3.20350032203000*10^-01,   8.23318563665000*10^-01}  
{-6.04269565671000*10^-01,  -7.37092208219000*10^-01,   3.02577871939000*10^-01}  
{ 9.33668130470000*10^-01,  -3.58136212735000*10^-01,  -1.50840086600000*10^-03}  
{ 3.46016082808000*10^-01,   8.20033362365000*10^-01,   4.55870765729000*10^-01}  
{-9.19714539165000*10^-01,   3.92060296186000*10^-01,   2.03443014900000*10^-02}  
{ 5.98448787728000*10^-01,  -7.36582728463000*10^-01,   3.15126851595000*10^-01}  
{-3.10722435431000*10^-01,  -7.80226581955000*10^-01,   5.42860984904000*10^-01}  
{-9.54796250654000*10^-01,  -1.35728130220000*10^-01,  -2.64465488115000*10^-01}  
{ 3.28279954511000*10^-01,  -7.71709961118000*10^-01,   5.44698088281000*10^-01}  
{ 3.56164602458000*10^-01,   9.15924853127000*10^-01,  -1.85009295386000*10^-01}  
{-6.47573669641000*10^-01,  -7.13615062136000*10^-01,  -2.67211312410000*10^-01}  
{ 1.80723346554000*10^-01,  -9.83244509852000*10^-01,  -2.38601310930000*10^-02}  
{ 6.76649739527000*10^-01,  -4.47120644738000*10^-01,  -5.85002785504000*10^-01}  
