{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{-9.11121720689000*10^-01,   4.03497066984000*10^-01,  -8.39483592740000*10^-02} 
{-3.60875767120000*10^-02,   8.14510277729000*10^-01,   5.79025642162000*10^-01} 
{-7.20331098041000*10^-01,   6.26462102507000*10^-01,   2.97772301125000*10^-01} 
{ 7.89085818937000*10^-01,   5.17748499173000*10^-01,   3.30575349892000*10^-01} 
{ 4.97343479791000*10^-01,   8.17482798440000*10^-02,   8.63693627308000*10^-01} 
{ 4.31096775553000*10^-01,   7.39132221396000*10^-01,   5.17531766563000*10^-01} 
{-6.25792773673000*10^-01,  -7.23167985272000*10^-01,  -2.92252407169000*10^-01} 
{-6.45744942478000*10^-01,   1.12381431392000*10^-01,  -7.55237633558000*10^-01} 
{ 4.44711086179000*10^-01,  -6.79525854340000*10^-01,  -5.83503781576000*10^-01} 
{-5.67103772663000*10^-01,   8.08971613999000*10^-01,   1.54784491394000*10^-01} 
{-6.33454770919000*10^-01,  -1.52936973377000*10^-01,  -7.58515217629000*10^-01} 
{ 3.41160572566000*10^-01,   2.41938986901000*10^-01,  -9.08336386117000*10^-01} 
{-8.12509259323000*10^-01,  -2.28757623390000*10^-02,  -5.82499272971000*10^-01} 
{-3.72347516855000*10^-01,   9.28092834223000*10^-01,   1.00883887500000*10^-03} 
{-9.82068762420000*10^-01,   1.54320337105000*10^-01,  -1.08287485123000*10^-01} 
{ 9.16935284048000*10^-01,  -1.86346060516000*10^-01,   3.52852420423000*10^-01} 
{ 4.81026130949000*10^-01,   6.45451185850000*10^-01,  -5.93301464712000*10^-01} 
{-5.25741684460000*10^-01,   7.41651568488000*10^-01,   4.16591685203000*10^-01} 
{-3.42533645848000*10^-01,   9.01479397979000*10^-01,   2.64585707249000*10^-01} 
{-2.21071026771000*10^-01,   7.05670248503000*10^-01,  -6.73169444865000*10^-01} 
{-9.23268601820000*10^-02,   4.41919900849000*10^-01,   8.92290620887000*10^-01} 
{ 5.74919239250000*10^-02,   9.32920606116000*10^-01,  -3.55462826984000*10^-01} 
{ 8.49835696342000*10^-01,  -6.95080747710000*10^-02,  -5.22444175739000*10^-01} 
{ 2.85834942410000*10^-02,   7.95641082499000*10^-01,  -6.05093589205000*10^-01} 
{ 9.86700183159000*10^-01,  -1.43229486971000*10^-01,   7.68639227270000*10^-02} 
{ 4.63388358300000*10^-03,   6.41354615221000*10^-01,   7.67230594188000*10^-01} 
{-7.63771546563000*10^-01,  -3.30194821010000*10^-01,   5.54638986042000*10^-01} 
{-2.34470163424000*10^-01,  -1.38719956029000*10^-01,  -9.62174888605000*10^-01} 
{ 6.83940173000000*10^-01,  -3.50654979991000*10^-01,   6.39739732050000*10^-01} 
{ 2.33211674480000*10^-02,  -7.92312793517000*10^-01,  -6.09669222101000*10^-01} 
{-5.88760913723000*10^-01,   7.99497391240000*10^-01,  -1.19014738052000*10^-01} 
{-1.28951272388000*10^-01,   3.93180964269000*10^-01,  -9.10373713749000*10^-01} 
{-5.05043726043000*10^-01,   5.90573771843000*10^-01,  -6.29407224931000*10^-01} 
{-2.32020085497000*10^-01,   1.58527251066000*10^-01,  -9.59706095946000*10^-01} 
{ 3.18677765426000*10^-01,   9.46803264123000*10^-01,   4.48113921830000*10^-02} 
{-9.32782205825000*10^-01,  -3.45121074531000*10^-01,  -1.03965380827000*10^-01} 
{-8.40408860309000*10^-01,  -5.35472597156000*10^-01,   8.35586333640000*10^-02} 
{-4.91942567505000*10^-01,  -6.54371726390000*10^-01,  -5.74273588091000*10^-01} 
{-5.82866752279000*10^-01,  -4.23610188881000*10^-01,  -6.93412400354000*10^-01} 
{-2.51979492686000*10^-01,  -3.91651036450000*10^-02,   9.66939724038000*10^-01} 
{-7.99308494727000*10^-01,  -5.73991073209000*10^-01,  -1.77876862279000*10^-01} 
{ 7.68406384811000*10^-01,   6.33583968126000*10^-01,   9.01275935270000*10^-02} 
{ 4.76838811290000*10^-02,  -9.32536786949000*10^-01,  -3.57912543043000*10^-01} 
{ 3.22196336250000*10^-01,  -8.00398814628000*10^-01,   5.05520779443000*10^-01} 
{-6.46248495041000*10^-01,  -5.71232986574000*10^-01,   5.06019523050000*10^-01} 
{ 9.23677402701000*10^-01,  -2.11171411896000*10^-01,  -3.19729089289000*10^-01} 
{ 9.07593417105000*10^-01,   2.95332002211000*10^-01,   2.98417824029000*10^-01} 
{-7.17868928304000*10^-01,   4.97429494615000*10^-01,  -4.87060673491000*10^-01} 
{-7.78261284180000*10^-01,   5.86036592777000*10^-01,  -2.25544863549000*10^-01} 
{ 2.56107017084000*10^-01,   4.11202634210000*10^-02,   9.65773430850000*10^-01} 
{ 9.87578885453000*10^-01,  -2.53798375950000*10^-02,  -1.55060661842000*10^-01} 
{-3.94989304703000*10^-01,   7.72964257262000*10^-01,  -4.96497438227000*10^-01} 
{-9.46107004394000*10^-01,  -2.90207068625000*10^-01,   1.43740716419000*10^-01} 
{ 8.43522071170000*10^-02,   9.93782453949000*10^-01,  -7.26714481570000*10^-02} 
{-2.29953840591000*10^-01,  -9.48850201649000*10^-01,  -2.16343537061000*10^-01} 
{-2.95002878650000*10^-01,  -9.10303931509000*10^-01,   2.90379155361000*10^-01} 
{ 8.02541367698000*10^-01,  -1.30198046408000*10^-01,   5.82216301597000*10^-01} 
{-7.83058254498000*10^-01,   2.31952492573000*10^-01,   5.77076954359000*10^-01} 
{ 9.86788333084000*10^-01,   1.56764684987000*10^-01,   4.09098915910000*10^-02} 
{-9.21472453418000*10^-01,  -1.47717429351000*10^-01,  -3.59260460749000*10^-01} 
{-4.82217738644000*10^-01,   6.03156114928000*10^-01,   6.35349316174000*10^-01} 
{-8.76087576028000*10^-01,   3.50444142283000*10^-01,  -3.31148701143000*10^-01} 
{-2.95881976990000*10^-02,  -9.88692366963000*10^-01,   1.47010006685000*10^-01} 
{ 8.41336173460000*10^-01,   5.11960324149000*10^-01,  -1.73349559343000*10^-01} 
{-1.77097555391000*10^-01,   2.12722122570000*10^-01,   9.60929630329000*10^-01} 
{-4.84556696219000*10^-01,  -4.59604746820000*10^-02,   8.73551625788000*10^-01} 
{-2.94920538225000*10^-01,   8.07788778857000*10^-01,   5.10391188096000*10^-01} 
{-9.29505984470000*10^-02,   9.30522753742000*10^-01,   3.54242277286000*10^-01} 
{-3.28701437073000*10^-01,   5.03126226345000*10^-01,  -7.99261762897000*10^-01} 
{ 7.80114845240000*10^-01,   1.95718994600000*10^-01,  -5.94234720787000*10^-01} 
{-1.14148742182000*10^-01,  -6.80416851012000*10^-01,   7.23880496710000*10^-01} 
{ 8.09338490002000*10^-01,  -4.05821020701000*10^-01,   4.24594521584000*10^-01} 
{ 4.67109991967000*10^-01,  -8.81678142277000*10^-01,  -6.67226261150000*10^-02} 
{-8.27480319216000*10^-01,  -4.51468856667000*10^-01,   3.33844563787000*10^-01} 
{-4.24796824453000*10^-01,  -2.80840321249000*10^-01,  -8.60625570092000*10^-01} 
{ 6.56693969508000*10^-01,  -6.28200954434000*10^-01,  -4.17272801966000*10^-01} 
{ 2.72598680409000*10^-01,   8.21696743355000*10^-01,  -5.00504167215000*10^-01} 
{ 2.14525017479000*10^-01,  -6.62157688444000*10^-01,  -7.18001540743000*10^-01} 
{ 4.27616927715000*10^-01,   4.63950073954000*10^-01,  -7.75818336990000*10^-01} 
{-6.03380405806000*10^-01,   7.07402983485000*10^-01,  -3.68121046459000*10^-01} 
{ 5.01819330673000*10^-01,   7.80236800819000*10^-01,  -3.73373665397000*10^-01} 
{ 9.64404535935000*10^-01,   4.20129809990000*10^-02,   2.61072404699000*10^-01} 
{-4.48612883118000*10^-01,  -8.34054720000000*10^-05,  -8.93726174029000*10^-01} 
{-4.72413496587000*10^-01,  -8.73056647688000*10^-01,  -1.20820437714000*10^-01} 
{ 1.60243722211000*10^-01,  -6.48474595427000*10^-01,   7.44179177738000*10^-01} 
{ 1.19784931206000*10^-01,   9.71039565612000*10^-01,   2.06721388036000*10^-01} 
{ 4.02913271884000*10^-01,  -6.22345825831000*10^-01,   6.71078660375000*10^-01} 
{-9.08089913261000*10^-01,  -1.82820340694000*10^-01,   3.76761771499000*10^-01} 
{ 8.25327067117000*10^-01,  -5.14425338869000*10^-01,  -2.32812806808000*10^-01} 
{ 6.54649005728000*10^-01,   4.37822849335000*10^-01,  -6.16235208260000*10^-01} 
{ 9.45055922942000*10^-01,   2.74777540345000*10^-01,  -1.77106199314000*10^-01} 
{-1.69812492738000*10^-01,   8.79794323149000*10^-01,  -4.43988362757000*10^-01} 
{-6.95082240585000*10^-01,  -5.42854492296000*10^-01,  -4.71348787011000*10^-01} 
{-3.46325275716000*10^-01,  -5.21415877206000*10^-01,  -7.79861709790000*10^-01} 
{-2.42612497438000*10^-01,   6.54769460923000*10^-01,   7.15832472811000*10^-01} 
{ 6.68240472606000*10^-01,  -7.25954692220000*10^-01,  -1.62617513248000*10^-01} 
{-8.68626475928000*10^-01,   4.71762340532000*10^-01,   1.51421066476000*10^-01} 
{ 6.35065039824000*10^-01,  -7.65282857490000*10^-01,   1.05045434101000*10^-01} 
{-4.31348495432000*10^-01,   2.73307414805000*10^-01,  -8.59791563404000*10^-01} 
{-1.38794986588000*10^-01,  -2.70686680400000*10^-01,   9.52609401986000*10^-01} 
{-6.54382976437000*10^-01,   9.97341947110000*10^-02,   7.49557209661000*10^-01} 
{-5.05030101755000*10^-01,  -8.49940042319000*10^-01,   1.50154989209000*10^-01} 
{-3.46032918909000*10^-01,   4.42934627374000*10^-01,   8.27085325045000*10^-01} 
{ 2.99844586070000*10^-01,  -2.46429637256000*10^-01,  -9.21610361317000*10^-01} 
{-2.67510724953000*10^-01,  -9.62819868704000*10^-01,   3.76286122920000*10^-02} 
{ 8.15331993616000*10^-01,  -5.78681527336000*10^-01,   1.90113152250000*10^-02} 
{ 7.68837907130000*10^-01,   3.38720827173000*10^-01,   5.42361939850000*10^-01} 
{-9.89662914700000*10^-03,  -4.79203579378000*10^-01,   8.77647985381000*10^-01} 
{ 5.38472029513000*10^-01,  -7.53765938899000*10^-01,   3.76675965238000*10^-01} 
{ 5.82060235632000*10^-01,   3.34380035048000*10^-01,   7.41212435310000*10^-01} 
{-4.87448209939000*10^-01,  -7.67569056553000*10^-01,   4.16211467945000*10^-01} 
{ 8.65607535051000*10^-01,   1.00949500983000*10^-01,   4.90441427201000*10^-01} 
{-8.58251572475000*10^-01,   3.54338134910000*10^-01,   3.71279846601000*10^-01} 
{ 9.05553975483000*10^-01,  -3.88616548456000*10^-01,   1.70144573091000*10^-01} 
{ 2.74489080400000*10^-03,  -9.94065975131000*10^-01,  -1.08744207482000*10^-01} 
{-4.16068935585000*10^-01,  -8.21927490789000*10^-01,  -3.89001080624000*10^-01} 
{ 6.14592065894000*10^-01,  -5.77399839299000*10^-01,   5.37481179314000*10^-01} 
{ 6.88672225989000*10^-01,   7.08184903320000*10^-01,  -1.55578622760000*10^-01} 
{ 3.87805310499000*10^-01,   8.75109992743000*10^-01,   2.89464232245000*10^-01} 
{-7.92915067229000*10^-01,   2.39190966198000*10^-01,  -5.60422499415000*10^-01} 
{ 2.48882761788000*10^-01,  -4.32840269551000*10^-01,   8.66433304958000*10^-01} 
{ 2.22693012722000*10^-01,  -9.73922899944000*10^-01,   4.33821051750000*10^-02} 
{ 6.20722075565000*10^-01,   5.50113655551000*10^-01,   5.58640377060000*10^-01} 
{ 1.30443920369000*10^-01,  -4.60223222514000*10^-01,  -8.78167961780000*10^-01} 
{-7.70477304451000*10^-01,  -2.81854043439000*10^-01,  -5.71771826450000*10^-01} 
{ 8.00224815731000*10^-01,  -3.93808309845000*10^-01,  -4.52277856395000*10^-01} 
{-9.64203105913000*10^-01,   2.22020700572000*10^-01,   1.44979926421000*10^-01} 
{-1.30799745091000*10^-01,   9.86908108463000*10^-01,   9.43600134240000*10^-02}
