{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 7.51710288002000*10^-01,   0.00000000000000*10^+00,   6.59493474503000*10^-01}
{-9.46301615589000*10^-01,   1.11358268319000*10^-01,  -3.03500557512000*10^-01} 
{-4.86900194038000*10^-01,   8.70777020028000*10^-01,   6.83782307220000*10^-02} 
{-5.27391434139000*10^-01,  -7.04015346866000*10^-01,  -4.75626604149000*10^-01} 
{-4.48505119250000*10^-01,  -8.93582998351000*10^-01,  -1.87771953310000*10^-02} 
{-9.74460149410000*10^-02,   9.05378953618000*10^-01,   4.13271369100000*10^-01} 
{ 5.50822240063000*10^-01,   7.94124021354000*10^-01,  -2.56830486042000*10^-01} 
{-9.78434783596000*10^-01,  -1.04177496764000*10^-01,   1.78360375132000*10^-01} 
{-8.76905216340000*10^-01,  -4.12324764656000*10^-01,  -2.47033459287000*10^-01} 
{ 3.98256992629000*10^-01,   2.61526233542000*10^-01,   8.79201567896000*10^-01} 
{-6.69306929050000*10^-01,  -2.37181230045000*10^-01,  -7.04111709063000*10^-01} 
{ 7.64655090996000*10^-01,   4.68957452919000*10^-01,   4.42019794993000*10^-01} 
{-3.47964516179000*10^-01,  -7.92852623440000*10^-01,   5.00305319765000*10^-01} 
{ 8.71692511477000*10^-01,  -4.90013429708000*10^-01,  -6.24532957400000*10^-03} 
{ 2.93657134005000*10^-01,  -6.40825485714000*10^-01,  -7.09301194491000*10^-01} 
{-7.73116928075000*10^-01,  -5.92554389886000*10^-01,   2.26206787146000*10^-01} 
{-4.75237224640000*10^-02,  -9.12621548355000*10^-01,  -4.06033748945000*10^-01} 
{ 7.31266785297000*10^-01,  -4.73959921471000*10^-01,  -4.90521030702000*10^-01} 
{-5.51465127541000*10^-01,   6.34615762534000*10^-01,   5.41432403029000*10^-01} 
{ 6.44209073277000*10^-01,  -5.64517671640000*10^-02,  -7.62763310530000*10^-01} 
{ 6.92722856447000*10^-01,   4.21884929021000*10^-01,  -5.84934313253000*10^-01} 
{-2.73554241687000*10^-01,   8.59396086145000*10^-01,  -4.31979680046000*10^-01} 
{-6.49898888274000*10^-01,   2.70856029608000*10^-01,  -7.10118614208000*10^-01} 
{ 3.61976419280000*10^-01,  -3.44213376481000*10^-01,   8.66308388126000*10^-01} 
{ 5.07635190992000*10^-01,  -8.26097527172000*10^-01,   2.44682219352000*10^-01} 
{ 2.98735120815000*10^-01,   6.89801932174000*10^-01,   6.59492700460000*10^-01} 
{ 6.33927044960000*10^-02,   9.94636647537000*10^-01,  -8.17270114050000*10^-02} 
{ 4.74133867863000*10^-01,   8.51450083933000*10^-01,   2.24120123853000*10^-01} 
{-6.79982125717000*10^-01,  -3.37102260841000*10^-01,   6.51142361117000*10^-01} 
{ 4.53556145112000*10^-01,  -8.56452647613000*10^-01,  -2.46527251288000*10^-01} 
{-8.18011633003000*10^-01,   1.89869850151000*10^-01,   5.42960779685000*10^-01} 
{-4.71069574854000*10^-01,   9.67142748140000*10^-02,   8.76778081783000*10^-01} 
{ 3.08464171700000*10^-02,  -9.90369675350000*10^-01,   1.34968161783000*10^-01} 
{ 8.88626055874000*10^-01,   4.55017273936000*10^-01,  -5.74718473800000*10^-02} 
{-2.10335886608000*10^-01,  -5.19928615979000*10^-01,  -8.27908841051000*10^-01} 
{ 2.14118410404000*10^-01,   7.56561192454000*10^-01,  -6.17874152557000*10^-01} 
{ 2.59533150783000*10^-01,   3.19070821555000*10^-01,  -9.11502251493000*10^-01} 
{-7.08052311545000*10^-01,   6.13587992853000*10^-01,  -3.49530684121000*10^-01} 
{ 9.79812177264000*10^-01,  -1.57544226780000*10^-02,   1.99298508400000*10^-01} 
{-2.22340301508000*10^-01,   5.24139262435000*10^-01,  -8.22096602535000*10^-01} 
{ 1.67477396774000*10^-01,  -7.58248188324000*10^-01,   6.30088094217000*10^-01} 
{-8.76570276537000*10^-01,   4.68013139928000*10^-01,   1.12197375847000*10^-01} 
{ 7.24015897788000*10^-01,  -4.70708128402000*10^-01,   5.04217054061000*10^-01} 
{-1.51937691391000*10^-01,   5.15313805780000*10^-01,   8.43425526948000*10^-01} 
{ 2.06742881789000*10^-01,  -2.04177491376000*10^-01,  -9.56853663234000*10^-01} 
{-2.11715623925000*10^-01,  -4.49224190836000*10^-01,   8.67971267355000*10^-01} 
{-2.52573444616000*10^-01,   1.36078894400000*10^-02,  -9.67482031058000*10^-01} 
{ 9.47099296608000*10^-01,  -4.22215539400000*10^-03,  -3.20912909943000*10^-01} 
