{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 1.11410671288000*10^-01,  -9.87600038692000*10^-01,  -1.10606626831000*10^-01}  
{-5.66422924261000*10^-01,   5.89431598029000*10^-01,   5.75964809790000*10^-01}  
{-8.64364901603000*10^-01,   5.01551771184000*10^-01,  -3.63199352820000*10^-02}  
{-5.00072069505000*10^-01,  -8.27188591945000*10^-01,   2.56294671534000*10^-01}  
{-8.81381159805000*10^-01,  -2.78669673761000*10^-01,  -3.81458338574000*10^-01}  
{ 5.79038055587000*10^-01,   4.00766704758000*10^-01,   7.10000689112000*10^-01}  
{-9.72639589774000*10^-01,   2.21285914737000*10^-01,  -7.07444156370000*10^-02}  
{ 1.70962393553000*10^-01,  -3.72622864371000*10^-01,   9.12098712278000*10^-01}  
{ 2.29418625412000*10^-01,   9.63814702406000*10^-01,   1.35750925373000*10^-01}  
{-8.74443124422000*10^-01,  -4.26927470797000*10^-01,  -2.30395652802000*10^-01}  
{-5.03062658277000*10^-01,  -4.50413116881000*10^-01,   7.37601508939000*10^-01}  
{-9.91575258446000*10^-01,  -6.58225134420000*10^-02,  -1.11561209936000*10^-01}  
{ 8.14199826352000*10^-01,   3.80804058839000*10^-01,   4.38254391353000*10^-01}  
{ 5.24453714918000*10^-01,   3.29989988515000*10^-01,  -7.84891653917000*10^-01}  
{ 2.88356575312000*10^-01,   8.42780343311000*10^-01,   4.54501681409000*10^-01}  
{-9.97541633429000*10^-01,   6.39039061270000*10^-02,   2.87572661770000*10^-02}  
{-8.36292896150000*10^-02,  -9.94880509877000*10^-01,  -5.67354649720000*10^-02}  
{ 9.52575171982000*10^-01,  -3.01639993277000*10^-01,   4.01728288590000*10^-02}  
{ 9.87499149538000*10^-01,  -4.83913401100000*10^-03,  -1.57550031559000*10^-01}  
{ 9.71318897999000*10^-01,  -6.86621401130000*10^-02,   2.27651287948000*10^-01}  
