{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 5.46472244040000*10^-01,   4.91109564586000*10^-01,  -6.78365301343000*10^-01}  
{ 6.48050031208000*10^-01,  -6.17358971739000*10^-01,   4.45981005274000*10^-01}  
{-2.99847822594000*10^-01,   8.00539109436000*10^-01,  -5.18872255521000*10^-01}  
{ 9.17541437290000*10^-01,   2.54591652429000*10^-01,   3.05451798765000*10^-01}  
{-6.16785592167000*10^-01,   4.21370246528000*10^-01,   6.64847838708000*10^-01}  
{ 9.96727625090000*10^-01,  -6.56290275290000*10^-02,   4.71897460040000*10^-02}  
{ 7.05370386444000*10^-01,  -6.52021321158000*10^-01,  -2.78066205575000*10^-01}  
{ 8.76685985747000*10^-01,  -4.80755992624000*10^-01,  -1.71859812340000*10^-02}  
{ 5.51233224579000*10^-01,  -7.68861226403000*10^-01,  -3.24028311500000*10^-01}  
{-8.40416621655000*10^-01,   4.10564496006000*10^-01,  -3.53746656047000*10^-01}  
{-9.66820827621000*10^-01,   1.99780495556000*10^-01,   1.59201887154000*10^-01}  
{-2.01820654909000*10^-01,  -5.82056944479000*10^-01,  -7.87704345955000*10^-01}  
{ 8.74420408080000*10^-02,  -1.80648706236000*10^-01,   9.79652966328000*10^-01}  
{-2.17370618203000*10^-01,  -7.29776896456000*10^-01,   6.48209607875000*10^-01}  
{ 4.79968413449000*10^-01,  -6.30759636756000*10^-01,  -6.09731582527000*10^-01}  
{-6.70137726349000*10^-01,  -9.95212224980000*10^-02,   7.35534468259000*10^-01}  
{ 6.60785359160000*10^-01,  -3.31748741249000*10^-01,  -6.73279646061000*10^-01}  
{ 1.35354280164000*10^-01,   9.90413005626000*10^-01,  -2.75916133840000*10^-02}  
{ 5.11943532931000*10^-01,  -8.59004222529000*10^-01,   5.05616127100000*10^-03}  
{ 6.28423824709000*10^-01,   2.16823043746000*10^-01,   7.47041675034000*10^-01}  
{-3.14335351261000*10^-01,   3.95373129422000*10^-01,   8.63060470349000*10^-01}  
{ 9.07880562961000*10^-01,  -1.52604774980000*10^-01,   3.90467240688000*10^-01}  
{-7.86007782866000*10^-01,  -5.39174580079000*10^-01,   3.02460803196000*10^-01}  
{-6.23746875755000*10^-01,   4.07308444647000*10^-01,  -6.67112933397000*10^-01}  
{-9.46307174773000*10^-01,  -9.10983920560000*10^-02,  -3.10167396639000*10^-01}  
{-2.62965289048000*10^-01,   2.13347197535000*10^-01,   9.40920947827000*10^-01}  
{ 8.70803055172000*10^-01,  -1.78654193128000*10^-01,  -4.58022617760000*10^-01}  
{ 8.29043772563000*10^-01,  -5.13503044162000*10^-01,  -2.21361800705000*10^-01}  
{-7.58363209514000*10^-01,  -6.40386058532000*10^-01,   1.21618002343000*10^-01}  
{-2.00618765252000*10^-01,   2.88055097150000*10^-02,   9.79245808589000*10^-01}  
{-6.11295150688000*10^-01,  -1.31105570133000*10^-01,  -7.80467531820000*10^-01}  
{-5.53154937264000*10^-01,  -6.06547347047000*10^-01,  -5.71069112429000*10^-01}  
{ 6.52733634653000*10^-01,   1.94242851511000*10^-01,  -7.32262601005000*10^-01}  
{-2.33787192116000*10^-01,   9.14412864784000*10^-01,   3.30443129026000*10^-01}  
{-6.83549487820000*10^-02,   9.97594269236000*10^-01,  -1.15444776800000*10^-02}  
{-1.37475776181000*10^-01,   7.51573594195000*10^-01,  -6.45164741343000*10^-01}  
{-4.11996810285000*10^-01,   2.08019692903000*10^-01,  -8.87122559560000*10^-01}  
{-2.79902312400000*10^-03,  -8.87414566554000*10^-01,   4.60963721498000*10^-01}  
{-5.71710679421000*10^-01,   5.91696056080000*10^-02,   8.18318921209000*10^-01}  
{ 3.56285257561000*10^-01,  -4.17980363960000*10^-01,  -8.35675314096000*10^-01}  
{ 3.72698755675000*10^-01,  -8.73618905422000*10^-01,   3.12866817684000*10^-01}  
{-7.26613236670000*10^-01,   5.71466893656000*10^-01,  -3.81390605221000*10^-01}  
{ 5.36559812996000*10^-01,  -8.18982756200000*10^-01,   2.03398161555000*10^-01}  
{-1.78223868986000*10^-01,   9.68553657755000*10^-01,  -1.73608941512000*10^-01}  
{-6.18798169635000*10^-01,  -7.77861853433000*10^-01,   1.09634676223000*10^-01}  
{ 6.83098484677000*10^-01,   3.55633138553000*10^-01,  -6.37888337403000*10^-01}  
{-1.87107722920000*10^-02,  -3.31376647400000*10^-01,   9.43313004553000*10^-01}  
{ 3.55085859911000*10^-01,   8.91198442759000*10^-01,   2.82275340255000*10^-01}  
{-8.08615158866000*10^-01,   5.49520588797000*10^-01,  -2.10163382492000*10^-01}  
{ 6.72101325070000*10^-01,  -6.92005347182000*10^-01,   2.63454755719000*10^-01}  
{ 6.45562696185000*10^-01,  -5.00228903206000*10^-01,  -5.77078720532000*10^-01}  
{ 1.06572591640000*10^-01,  -7.91050479495000*10^-01,  -6.02396399061000*10^-01}  
{-8.39649020478000*10^-01,   2.45563372170000*10^-01,  -4.84446232991000*10^-01}  
{-5.85597201735000*10^-01,   2.28127105564000*10^-01,  -7.77839277118000*10^-01}  
{ 5.30558287389000*10^-01,   8.47221280114000*10^-01,  -2.69073634010000*10^-02}  
{ 3.82550121172000*10^-01,   7.46188354748000*10^-01,  -5.44847083161000*10^-01}  
{ 3.69164330940000*10^-02,   5.27614750001000*10^-01,  -8.48681243194000*10^-01}  
{-9.87123865676000*10^-01,  -1.01708095736000*10^-01,   1.23458240205000*10^-01}  
{ 6.92363071705000*10^-01,  -3.40452878103000*10^-01,   6.36180174739000*10^-01}  
{ 2.47357907767000*10^-01,  -5.52544238158000*10^-01,   7.95932742349000*10^-01}  
{ 3.68700414608000*10^-01,  -4.22683012270000*10^-02,   9.28586772994000*10^-01}  
{-1.43375877872000*10^-01,   6.14694537768000*10^-01,  -7.75624898313000*10^-01}  
{-3.75490573520000*10^-02,   9.43015475011000*10^-01,   3.30623474941000*10^-01}
