{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{-1.98286482924000*10^-01,  -7.81612639081000*10^-01,   5.91408617724000*10^-01} 
{ 8.49531544496000*10^-01,  -4.72805803228000*10^-01,  -2.33988947047000*10^-01} 
{ 6.06952289677000*10^-01,  -7.93810825025000*10^-01,   3.83834877090000*10^-02} 
{ 7.89326504327000*10^-01,  -2.74520723630000*10^-01,   5.49183067714000*10^-01} 
{-7.75667052285000*10^-01,  -4.83836162599000*10^-01,   4.05269283022000*10^-01} 
{ 2.70997254308000*10^-01,   9.48024233833000*10^-01,  -1.66764925038000*10^-01} 
{ 2.10446446122000*10^-01,  -6.89620451738000*10^-01,  -6.92918412123000*10^-01} 
{ 4.38172930518000*10^-01,  -3.70091946560000*10^-01,   8.19168135399000*10^-01} 
{ 9.58694980186000*10^-01,   2.83465751773000*10^-01,  -2.34755732050000*10^-02} 
{ 7.55731460731000*10^-01,  -5.74803158295000*10^-01,   3.13801351933000*10^-01} 
{-3.48236560158000*10^-01,  -7.27615239410000*10^-01,  -5.91022302072000*10^-01} 
{-6.59619116761000*10^-01,   1.75055831355000*10^-01,  -7.30929597644000*10^-01} 
{-1.59073745936000*10^-01,   9.17729360748000*10^-01,   3.63962036172000*10^-01} 
{ 7.76446228700000*10^-01,  -6.12270177709000*10^-01,  -1.49186069813000*10^-01} 
{-2.41695731238000*10^-01,   7.85519212981000*10^-01,  -5.69686527434000*10^-01} 
{ 4.74452149951000*10^-01,   5.62377528630000*10^-01,   6.77219811212000*10^-01} 
{-3.97862662165000*10^-01,   9.15028117813000*10^-01,   6.65495730060000*10^-02} 
{ 5.01290463315000*10^-01,  -7.03802411634000*10^-01,   5.03358755529000*10^-01} 
{ 1.15909301025000*10^-01,  -4.37569056370000*10^-01,  -8.91682877958000*10^-01} 
{ 6.19838138113000*10^-01,  -6.74350378770000*10^-02,   7.81826833901000*10^-01} 
{-3.29249102887000*10^-01,   8.51729933833000*10^-01,  -4.07616422707000*10^-01} 
{ 9.95125161047000*10^-01,   8.92584444790000*10^-02,   4.19385734100000*10^-02} 
{-4.83639120832000*10^-01,  -3.07421870210000*10^-02,   8.74727453975000*10^-01} 
{ 3.10642980181000*10^-01,   7.35449660391000*10^-01,  -6.02175004376000*10^-01} 
{ 1.74073420907000*10^-01,   5.18939053800000*10^-02,   9.83364361119000*10^-01} 
{-6.82149103951000*10^-01,  -3.58169933317000*10^-01,  -6.37484822444000*10^-01} 
{-4.40625848452000*10^-01,  -8.65198561173000*10^-01,  -2.39333055428000*10^-01} 
{-3.24219529930000*10^-01,  -6.63141519456000*10^-01,   6.74629543962000*10^-01} 
{ 9.29387165040000*10^-01,  -3.50746169732000*10^-01,  -1.14963567604000*10^-01} 
{-9.04069717573000*10^-01,  -4.25644774651000*10^-01,  -3.85288408670000*10^-02} 
{ 3.35532749442000*10^-01,   6.84385228182000*10^-01,   6.47328844945000*10^-01} 
{-6.18842843891000*10^-01,   4.10370594200000*10^-02,   7.84442154858000*10^-01} 
{ 9.31394889497000*10^-01,   1.88494963453000*10^-01,  -3.11405216032000*10^-01} 
{ 9.03972820281000*10^-01,   4.04722695060000*10^-02,  -4.25670219294000*10^-01} 
{-6.47909259142000*10^-01,  -5.70531720574000*10^-01,   5.04685196669000*10^-01} 
{ 8.92730786800000*10^-03,  -9.77016366554000*10^-01,   2.12977282025000*10^-01} 
{ 9.80013390421000*10^-01,   1.42833808266000*10^-01,  -1.38463922422000*10^-01} 
{-5.22328894921000*10^-01,  -6.85581067888000*10^-01,  -5.07100704874000*10^-01} 
{-9.41908835826000*10^-01,   3.03696069908000*10^-01,  -1.43444909691000*10^-01} 
{-6.24922989317000*10^-01,   6.50129956579000*10^-01,   4.32206312983000*10^-01} 
{-7.06235670187000*10^-01,  -7.05963121644000*10^-01,  -5.33596198810000*10^-02} 
{-1.45591723319000*10^-01,  -9.66673991132000*10^-01,  -2.10581207542000*10^-01} 
{-1.33281574103000*10^-01,   9.81108892091000*10^-01,  -1.40218985390000*10^-01} 
{-3.69244148358000*10^-01,   6.47922630851000*10^-01,  -6.66224454170000*10^-01} 
{-5.85964483810000*10^-01,  -8.08670465550000*10^-01,   5.19394056620000*10^-02} 
{ 1.86916760814000*10^-01,  -9.58015855529000*10^-01,   2.17411464929000*10^-01} 
{-6.68945207750000*10^-02,  -8.68720522333000*10^-01,   4.90764482382000*10^-01} 
{ 4.63939931465000*10^-01,   8.71424291986000*10^-01,  -1.59309269438000*10^-01} 
{ 2.16681253458000*10^-01,  -9.39521934499000*10^-01,  -2.65231538463000*10^-01} 
{-8.39154644790000*10^-01,   5.24850144395000*10^-01,   1.42659763265000*10^-01} 
{-6.01388116878000*10^-01,  -4.67484315576000*10^-01,   6.47912607971000*10^-01} 
{ 9.75566114770000*10^-02,  -1.50727369506000*10^-01,   9.83749951786000*10^-01} 
{ 2.71864241521000*10^-01,  -8.62542752475000*10^-01,  -4.26743288565000*10^-01} 
{ 7.00861664410000*10^-02,  -9.23959893307000*10^-01,   3.76013357255000*10^-01} 
{ 5.89896998190000*10^-01,   2.40476579410000*10^-01,  -7.70838858830000*10^-01} 
{ 3.90917683592000*10^-01,  -6.02055317770000*10^-01,  -6.96213156296000*10^-01} 
{ 1.48112838640000*10^-01,  -9.84094855973000*10^-01,  -9.80810964320000*10^-02} 
{ 4.53105056063000*10^-01,  -7.51221579650000*10^-02,   8.88286254286000*10^-01} 
{-9.85585426278000*10^-01,   1.18460247417000*10^-01,  -1.20783017395000*10^-01} 
{ 7.90758047648000*10^-01,  -4.57321066943000*10^-01,  -4.06889606416000*10^-01} 
{-1.63459317276000*10^-01,  -4.03388085958000*10^-01,   9.00310559586000*10^-01} 
{-7.38866728100000*10^-01,  -3.86722419846000*10^-01,   5.51834873939000*10^-01} 
{-2.35351436839000*10^-01,   9.31450265409000*10^-01,  -2.77506944501000*10^-01} 
{ 7.24979853530000*10^-02,  -6.70084550850000*10^-02,  -9.95115023033000*10^-01} 
{-2.96244056790000*10^-01,  -9.54005158829000*10^-01,   4.59740768710000*10^-02} 
{ 5.80424361050000*10^-02,  -6.50308698773000*10^-01,   7.57449451720000*10^-01} 
{ 8.57437145037000*10^-01,  -1.13183169766000*10^-01,   5.01987163574000*10^-01} 
{-4.98347388546000*10^-01,   5.44500195501000*10^-01,   6.74662447027000*10^-01} 
{-9.88732057464000*10^-01,  -1.20665083085000*10^-01,   8.85937710420000*10^-02} 
{ 5.39075627432000*10^-01,   7.87080219462000*10^-01,  -2.99836949089000*10^-01} 
{ 2.58381415030000*10^-01,  -8.89549214456000*10^-01,   3.76750898377000*10^-01} 
{-1.26339976959000*10^-01,  -9.36964386999000*10^-01,   3.25785125072000*10^-01} 
{ 5.59393823719000*10^-01,  -7.82857088506000*10^-01,  -2.72421234417000*10^-01} 
{-7.42247333019000*10^-01,   6.09869836002000*10^-01,   2.77718706178000*10^-01} 
{ 2.57239729482000*10^-01,  -5.41108020267000*10^-01,  -8.00643386270000*10^-01} 
{-4.29358468322000*10^-01,   3.28308388936000*10^-01,   8.41347079055000*10^-01} 
{ 8.26226169176000*10^-01,   2.26249071968000*10^-01,   5.15908591518000*10^-01} 
{ 1.61466880121000*10^-01,   6.61567131991000*10^-01,   7.32295962363000*10^-01} 
{-5.03056515869000*10^-01,   8.61042919081000*10^-01,  -7.44260259770000*10^-02} 
{ 6.07152726376000*10^-01,  -7.12381813053000*10^-01,   3.51962667461000*10^-01} 
{-5.41469644700000*10^-03,   6.89178399943000*10^-01,  -7.24571469294000*10^-01} 
{-4.98812307828000*10^-01,   6.66350835063000*10^-01,   5.54222740574000*10^-01} 
{-7.87935690110000*10^-01,  -5.66040097715000*10^-01,   2.42396278912000*10^-01} 
{-1.88756728243000*10^-01,   6.80403347597000*10^-01,  -7.08111701726000*10^-01} 
